threshold_setting,comparison_label,variant_name,variant_type,method,island_name,error_family,error_class,error_subclass,total_error_instances,affected_outputs,total_outputs_in_group,percentage_of_outputs,high_severity_affected_outputs,high_severity_percentage_of_outputs,medium_severity_affected_outputs,medium_severity_percentage_of_outputs,low_severity_affected_outputs,low_severity_percentage_of_outputs,high_severity_count,medium_severity_count,low_severity_count
main,,,,,Brecqhou,Citation and verifiability,Citation coverage failure,,1,1,2,0.500000,0,0.000000,1,0.500000,0,0.000000,0,1,0
main,,,,,Brecqhou,Citation and verifiability,Citation support failure,,2,1,2,0.500000,0,0.000000,1,0.500000,0,0.000000,0,2,0
main,,,,,Brecqhou,Content quality,Content addition,,0,0,2,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0,0
main,,,,,Brecqhou,Content quality,Content omission,,0,0,2,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0,0
main,,,,,Brecqhou,Content quality,Content organization error,,0,0,2,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0,0
main,,,,,Brecqhou,Content quality,Content quality error,,0,0,2,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0,0
main,,,,,Brecqhou,Content quality,Content substitution,,2,2,2,1.000000,0,0.000000,2,1.000000,0,0.000000,0,2,0
main,,,,,Brecqhou,Planning and graph,Graph coherence failure,,1,1,2,0.500000,0,0.000000,1,0.500000,0,0.000000,0,1,0
main,,,,,Brecqhou,Writing quality,Writing error,,0,0,2,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0,0
main,,,,,Hashima Island,Citation and verifiability,Citation coverage failure,,0,0,2,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0,0
main,,,,,Hashima Island,Citation and verifiability,Citation support failure,,0,0,2,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0,0
main,,,,,Hashima Island,Content quality,Content addition,,0,0,2,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0,0
main,,,,,Hashima Island,Content quality,Content omission,,0,0,2,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0,0
