comparison_label,variant_name,variant_type,num_rows,num_islands,fluency_score,structure_score,organization_score,writing_score,rouge_l,meteor,concept_coverage_score,concept_accuracy_score,concept_relevance_score,concept_organization_score,concept_score,citation_recall,citation_precision,citation_link_precision,citation_rate,cscs
agent2 model deepseek v3.2,agent2 model deepseek v3.2,method3_ablation,10,10,4.1000 ± 0.3162 (n=10),3.3000 ± 0.4830 (n=10),3.5000 ± 0.5270 (n=10),3.6330 ± 0.3322 (n=10),15.8447 ± 2.8777 (n=10),22.2636 ± 8.4544 (n=10),3.1000 ± 0.5676 (n=10),3.3000 ± 0.8233 (n=10),4.4000 ± 0.5164 (n=10),3.7000 ± 0.4830 (n=10),3.6250 ± 0.4449 (n=10),0.1301 ± 0.1077 (n=10),0.1358 ± 0.1083 (n=10),0.0570 ± 0.0567 (n=10),0.9574 ± 0.0768 (n=10),0.5131 ± 0.0562 (n=10)
agent2 model gemini 3 flash preview,agent2 model gemini 3 flash preview,method3_ablation,10,10,3.9000 ± 0.3162 (n=10),3.2000 ± 0.4216 (n=10),3.6000 ± 0.5164 (n=10),3.5670 ± 0.3175 (n=10),15.7839 ± 2.8467 (n=10),22.2771 ± 8.8469 (n=10),3.4000 ± 0.5164 (n=10),3.4000 ± 0.6992 (n=10),4.3000 ± 0.6749 (n=10),3.5000 ± 0.5270 (n=10),3.6500 ± 0.4595 (n=10),0.1772 ± 0.2179 (n=10),0.1792 ± 0.2186 (n=10),0.0674 ± 0.0837 (n=10),0.9612 ± 0.0693 (n=10),0.5042 ± 0.0784 (n=10)
agent2 model qwen3.6 plus,agent2 model qwen3.6 plus,method3_ablation,10,10,4.0000 ± 0.0000 (n=10),3.2000 ± 0.4216 (n=10),3.5000 ± 0.5270 (n=10),3.5660 ± 0.2764 (n=10),15.6343 ± 2.6837 (n=10),22.4771 ± 8.6431 (n=10),3.5000 ± 0.5270 (n=10),3.5000 ± 0.5270 (n=10),4.5000 ± 0.5270 (n=10),3.7000 ± 0.4830 (n=10),3.8000 ± 0.3873 (n=10),0.2265 ± 0.1945 (n=10),0.2319 ± 0.1925 (n=10),0.0799 ± 0.0585 (n=10),0.9641 ± 0.0634 (n=10),0.4937 ± 0.0669 (n=10)
agent3 model claude opus 4.7,agent3 model claude opus 4.7,method3_ablation,10,10,3.8000 ± 0.4216 (n=10),2.9000 ± 0.3162 (n=10),3.1000 ± 0.5676 (n=10),3.2650 ± 0.3797 (n=10),17.1820 ± 2.9137 (n=10),28.0961 ± 6.5702 (n=10),3.4000 ± 0.5164 (n=10),3.2000 ± 0.4216 (n=10),4.0000 ± 0.4714 (n=10),3.4000 ± 0.8433 (n=10),3.5000 ± 0.4410 (n=10),0.2196 ± 0.1901 (n=10),0.2394 ± 0.2037 (n=10),0.0879 ± 0.0897 (n=10),0.9243 ± 0.0994 (n=10),0.5250 ± 0.1122 (n=10)
agent3 model gemini 3.1 pro preview,agent3 model gemini 3.1 pro preview,method3_ablation,10,10,3.8000 ± 0.4216 (n=10),3.0000 ± 0.0000 (n=10),3.2000 ± 0.6325 (n=10),3.3330 ± 0.3147 (n=10),16.3843 ± 3.2327 (n=10),22.3543 ± 8.3951 (n=10),3.3000 ± 0.6749 (n=10),3.2000 ± 0.4216 (n=10),4.1000 ± 0.5676 (n=10),3.4000 ± 0.5164 (n=10),3.5000 ± 0.4249 (n=10),0.1102 ± 0.1380 (n=10),0.1117 ± 0.1381 (n=10),0.0496 ± 0.0626 (n=10),0.9695 ± 0.0558 (n=10),0.4778 ± 0.0963 (n=10)
agent3 model gpt5.4,agent3 model gpt5.4,method3_ablation,10,10,4.0000 ± 0.0000 (n=10),3.3000 ± 0.4830 (n=10),3.6000 ± 0.5164 (n=10),3.6330 ± 0.2935 (n=10),15.9739 ± 2.0528 (n=10),23.9922 ± 7.2755 (n=10),3.2000 ± 0.6325 (n=10),3.3000 ± 0.6749 (n=10),4.4000 ± 0.5164 (n=10),3.7000 ± 0.6749 (n=10),3.6500 ± 0.5297 (n=10),0.1520 ± 0.1799 (n=10),0.1542 ± 0.1793 (n=10),0.0610 ± 0.1033 (n=10),0.9527 ± 0.0869 (n=10),0.5325 ± 0.0677 (n=10)
rerank_scope global,rerank_scope global,method3_ablation,10,10,4.1000 ± 0.3162 (n=10),3.2000 ± 0.4216 (n=10),3.5000 ± 0.5270 (n=10),3.5990 ± 0.3451 (n=10),15.4988 ± 2.6786 (n=10),20.4043 ± 7.8611 (n=10),3.2000 ± 0.4216 (n=10),3.5000 ± 0.5270 (n=10),4.4000 ± 0.5164 (n=10),3.6000 ± 0.5164 (n=10),3.6750 ± 0.4257 (n=10),0.1567 ± 0.1958 (n=10),0.1583 ± 0.1952 (n=10),0.0692 ± 0.0909 (n=10),0.9652 ± 0.0736 (n=10),0.4990 ± 0.0626 (n=9)
reranker_type cross encoder + mmr,reranker_type cross encoder + mmr,method3_ablation,10,10,4.0000 ± 0.4714 (n=10),3.4000 ± 0.5164 (n=10),3.5000 ± 0.5270 (n=10),3.6320 ± 0.4294 (n=10),16.1587 ± 2.7956 (n=10),22.5790 ± 8.4242 (n=10),3.4000 ± 0.5164 (n=10),3.5000 ± 0.5270 (n=10),4.5000 ± 0.5270 (n=10),3.5000 ± 0.5270 (n=10),3.7250 ± 0.4632 (n=10),0.3444 ± 0.1986 (n=10),0.3620 ± 0.2040 (n=10),0.1825 ± 0.1345 (n=10),0.9591 ± 0.0740 (n=10),0.5066 ± 0.0943 (n=10)
threshold 0.3,threshold 0.3,method3_ablation,10,10,4.0000 ± 0.0000 (n=10),3.1000 ± 0.3162 (n=10),3.6000 ± 0.5164 (n=10),3.5670 ± 0.2274 (n=10),16.0616 ± 2.4707 (n=10),22.2655 ± 8.2031 (n=10),3.4000 ± 0.5164 (n=10),3.5000 ± 0.5270 (n=10),4.3000 ± 0.4830 (n=10),3.6000 ± 0.5164 (n=10),3.7000 ± 0.4048 (n=10),0.2520 ± 0.2190 (n=10),0.2608 ± 0.2168 (n=10),0.0799 ± 0.0795 (n=10),0.9522 ± 0.0798 (n=10),0.4964 ± 0.0986 (n=10)
threshold 0.6,threshold 0.6,method3_ablation,10,10,4.1000 ± 0.3162 (n=10),3.4000 ± 0.5164 (n=10),3.6000 ± 0.5164 (n=10),3.6990 ± 0.3676 (n=10),15.9496 ± 2.7210 (n=10),22.8560 ± 8.8544 (n=10),3.4000 ± 0.5164 (n=10),3.5000 ± 0.5270 (n=10),4.3000 ± 0.4830 (n=10),3.5000 ± 0.5270 (n=10),3.6750 ± 0.4091 (n=10),0.1989 ± 0.1440 (n=10),0.2113 ± 0.1487 (n=10),0.1163 ± 0.1113 (n=10),0.9436 ± 0.0938 (n=10),0.5246 ± 0.0785 (n=10)
