timestamp,source_file,variant_name,variant_type,variant_dir,variant_input_dir,variant_plan_dir,variant_output_csv,input_json,reference_file,context_file,plan_file,island_name,method,uses_retrieval_context,uses_agent2_plan,context_artifact_role,agent2_plan_artifact_role,writing_status,fluency_score,structure_score,organization_score,writing_score,writing_rationale,writing_error,informativeness_status,rouge_l,meteor,informativeness_error,concept_status,concept_coverage_score,concept_accuracy_score,concept_relevance_score,concept_organization_score,concept_score,missing_key_concepts,inaccurate_or_unsupported_concepts,concept_rationale,concept_error,verifiability_status,citation_recall,citation_precision,citation_link_precision,citation_rate,num_sentences,num_cited_sentences,num_citation_links,num_supported_citation_links,verifiability_error,cscs_status,cscs,cscs_edges,cscs_checked_edges,cscs_checked_facts,cscs_error,diagnostics_error,generated_section_count,generated_empty_section_count,generated_error_section_count,generated_sentence_count,citation_marker_count,valid_citation_marker_count,invalid_citation_marker_count,sections_with_invalid_citations,citation_index_validity,context_status,context_section_count,context_total_chunks,context_empty_chunk_section_count,context_empty_chunk_sections,context_chunk_coverage,context_avg_chunks_per_section,plan_status,plan_node_count,plan_edge_count,plan_graph_density,plan_avg_dependencies,plan_max_dependencies,plan_source_node_count,plan_source_nodes,plan_missing_summary_count,plan_missing_summaries,plan_order_violation_count,plan_output_alignment_status,planned_section_coverage,matched_planned_sections,missing_planned_sections,extra_generated_sections
2026-05-10T18:22:24,D:\Users\cheng\Documents\GitHub\LLM_MA_Agent_Project\00_evaluation\result\output\agent2 model deepseek v3.2\result_method3_Brecqhou_20260508_004446.json,agent2 model deepseek v3.2,method3_ablation,D:\Users\cheng\Documents\GitHub\LLM_MA_Agent_Project\00_evaluation\result\output\agent2 model deepseek v3.2,D:\Users\cheng\Documents\GitHub\LLM_MA_Agent_Project\00_evaluation\result\output\agent2 model deepseek v3.2,D:\Users\cheng\Documents\GitHub\LLM_MA_Agent_Project\00_evaluation\result\output\agent2 model deepseek v3.2\agent2,D:\Users\cheng\Documents\GitHub\LLM_MA_Agent_Project\00_evaluation\evaluations\agent2_model_deepseek_v3.2\full_evaluation_agent2_model_deepseek_v3.2_20260510_182222.csv,,D:\Users\cheng\Documents\GitHub\LLM_MA_Agent_Project\00_evaluation\references\Brecqhou.txt,D:\Users\cheng\Documents\GitHub\LLM_MA_Agent_Project\00_evaluation\result\data\Brecqhou_rag_context.json,D:\Users\cheng\Documents\GitHub\LLM_MA_Agent_Project\00_evaluation\result\output\agent2 model deepseek v3.2\agent2\Brecqhou_plan.json,Brecqhou,method3,true,true,used_by_generation,used_by_generation,success,4.0,3.0,3.0,3.33,"The prose is mostly clear and Wikipedia-like, but the article lacks a lead, has an uneven section scheme, and ends with a miscellaneous notes section that weakens overall organization.",,success,17.9415,28.8691,,success,3.0,2.0,4.0,4.0,3.25,,,,,success,0.25,0.25,0.0851,1.0,8,8,47,4,,success,0.5143,10,10,12,,,7,0,0,8,47,43,4,3,0.9149,success,7,46,0,,1.0,6.5714,success,7,10,0.4762,1.4286,3,2,Name; Flag and stamps,0,,0,success,1.0,Name; Geography; Fort Brecqhou; Flag and stamps; Public visits; Notes and references; Feudal relationship with Sark,,
2026-05-10T18:27:09,D:\Users\cheng\Documents\GitHub\LLM_MA_Agent_Project\00_evaluation\result\output\agent2 model deepseek v3.2\result_method3_Hashima_Island_20260508_005906.json,agent2 model deepseek v3.2,method3_ablation,D:\Users\cheng\Documents\GitHub\LLM_MA_Agent_Project\00_evaluation\result\output\agent2 model deepseek v3.2,D:\Users\cheng\Documents\GitHub\LLM_MA_Agent_Project\00_evaluation\result\output\agent2 model deepseek v3.2,D:\Users\cheng\Documents\GitHub\LLM_MA_Agent_Project\00_evaluation\result\output\agent2 model deepseek v3.2\agent2,D:\Users\cheng\Documents\GitHub\LLM_MA_Agent_Project\00_evaluation\evaluations\agent2_model_deepseek_v3.2\full_evaluation_agent2_model_deepseek_v3.2_20260510_182222.csv,,D:\Users\cheng\Documents\GitHub\LLM_MA_Agent_Project\00_evaluation\references\Hashima.txt,D:\Users\cheng\Documents\GitHub\LLM_MA_Agent_Project\00_evaluation\result\data\Hashima_Island_rag_context.json,D:\Users\cheng\Documents\GitHub\LLM_MA_Agent_Project\00_evaluation\result\output\agent2 model deepseek v3.2\agent2\Hashima Island_plan.json,Hashima Island,method3,true,true,used_by_generation,used_by_generation,success,4.0,4.0,3.0,3.67,"The prose is clear and mostly polished with appropriate headings, but the article lacks a lead and repeats material on UNESCO disputes and digital representations across multiple sections.",,success,14.2405,22.3977,,success,3.0,4.0,4.0,4.0,3.75,,,,,success,0.0,0.0,0.0,1.0,6,6,73,0,,success,0.4507,15,15,15,,,6,0,0,6,73,63,10,4,0.863,success,6,49,0,,1.0,8.1667,success,6,15,1.0,2.5,5,1,Etymology,0,,0,success,1.0,Etymology; History; Current status; Access; In popular culture; World Heritage Site approval controversy,,
2026-05-10T18:29:47,D:\Users\cheng\Documents\GitHub\LLM_MA_Agent_Project\00_evaluation\result\output\agent2 model deepseek v3.2\result_method3_Howland_Island_20260508_010313.json,agent2 model deepseek v3.2,method3_ablation,D:\Users\cheng\Documents\GitHub\LLM_MA_Agent_Project\00_evaluation\result\output\agent2 model deepseek v3.2,D:\Users\cheng\Documents\GitHub\LLM_MA_Agent_Project\00_evaluation\result\output\agent2 model deepseek v3.2,D:\Users\cheng\Documents\GitHub\LLM_MA_Agent_Project\00_evaluation\result\output\agent2 model deepseek v3.2\agent2,D:\Users\cheng\Documents\GitHub\LLM_MA_Agent_Project\00_evaluation\evaluations\agent2_model_deepseek_v3.2\full_evaluation_agent2_model_deepseek_v3.2_20260510_182222.csv,,D:\Users\cheng\Documents\GitHub\LLM_MA_Agent_Project\00_evaluation\references\Howland.txt,D:\Users\cheng\Documents\GitHub\LLM_MA_Agent_Project\00_evaluation\result\data\Howland_Island_rag_context.json,D:\Users\cheng\Documents\GitHub\LLM_MA_Agent_Project\00_evaluation\result\output\agent2 model deepseek v3.2\agent2\Howland Island_plan.json,Howland Island,method3,true,true,used_by_generation,used_by_generation,success,4.0,3.0,3.0,3.33,"The prose is mostly clear and readable, but the article lacks a lead, has an inappropriate placeholder section, and uses an uneven, oddly ordered structure with some non-encyclopedic gallery-style content.",,success,15.5135,16.7656,,success,3.0,3.0,4.0,3.0,3.25,,,,,success,0.1176,0.125,0.0678,0.9412,17,16,59,4,,success,0.4198,17,17,37,,,7,0,0,17,59,47,12,4,0.7966,success,7,29,1,Flora and fauna,0.8571,4.1429,success,7,17,0.8095,2.4286,5,1,Flora and fauna,1,Flora and fauna,0,success,1.0,Flora and fauna; Economics; Time zone; History; National Wildlife Refuge; Earhart Light; Image gallery,,
2026-05-10T18:32:06,D:\Users\cheng\Documents\GitHub\LLM_MA_Agent_Project\00_evaluation\result\output\agent2 model deepseek v3.2\result_method3_Hunga_Tonga–Hunga_Ha_apai_20260508_010555.json,agent2 model deepseek v3.2,method3_ablation,D:\Users\cheng\Documents\GitHub\LLM_MA_Agent_Project\00_evaluation\result\output\agent2 model deepseek v3.2,D:\Users\cheng\Documents\GitHub\LLM_MA_Agent_Project\00_evaluation\result\output\agent2 model deepseek v3.2,D:\Users\cheng\Documents\GitHub\LLM_MA_Agent_Project\00_evaluation\result\output\agent2 model deepseek v3.2\agent2,D:\Users\cheng\Documents\GitHub\LLM_MA_Agent_Project\00_evaluation\evaluations\agent2_model_deepseek_v3.2\full_evaluation_agent2_model_deepseek_v3.2_20260510_182222.csv,,D:\Users\cheng\Documents\GitHub\LLM_MA_Agent_Project\00_evaluation\references\Hunga_Tonga_Hunga_Ha_apai.txt,D:\Users\cheng\Documents\GitHub\LLM_MA_Agent_Project\00_evaluation\result\data\Hunga_Tonga–Hunga_Ha_apai_rag_context.json,D:\Users\cheng\Documents\GitHub\LLM_MA_Agent_Project\00_evaluation\result\output\agent2 model deepseek v3.2\agent2\Hunga_Tonga–Hunga_Ha_apai_plan.json,Hunga Tonga–Hunga Haʻapai,method3,true,true,used_by_generation,used_by_generation,success,4.0,3.0,3.0,3.33,"The prose is mostly clear and readable, but the article lacks a lead, uses a weak substantive 'Footnotes' section, and has some repetition and uneven flow across sections.",,success,15.4751,18.4949,,success,3.0,4.0,5.0,3.0,3.75,,,,,success,0.1667,0.2,0.0784,0.8333,6,5,51,4,,success,0.5491,4,4,5,,,4,0,0,6,51,32,19,2,0.6275,success,4,27,0,,1.0,6.75,success,4,4,0.6667,1.0,2,1,Volcano and caldera,0,,0,success,1.0,Volcano and caldera; Geography; Eruptions; Footnotes,,
2026-05-10T18:35:28,D:\Users\cheng\Documents\GitHub\LLM_MA_Agent_Project\00_evaluation\result\output\agent2 model deepseek v3.2\result_method3_Jarvis_Island_20260508_010838.json,agent2 model deepseek v3.2,method3_ablation,D:\Users\cheng\Documents\GitHub\LLM_MA_Agent_Project\00_evaluation\result\output\agent2 model deepseek v3.2,D:\Users\cheng\Documents\GitHub\LLM_MA_Agent_Project\00_evaluation\result\output\agent2 model deepseek v3.2,D:\Users\cheng\Documents\GitHub\LLM_MA_Agent_Project\00_evaluation\result\output\agent2 model deepseek v3.2\agent2,D:\Users\cheng\Documents\GitHub\LLM_MA_Agent_Project\00_evaluation\evaluations\agent2_model_deepseek_v3.2\full_evaluation_agent2_model_deepseek_v3.2_20260510_182222.csv,,D:\Users\cheng\Documents\GitHub\LLM_MA_Agent_Project\00_evaluation\references\Jarvis.txt,D:\Users\cheng\Documents\GitHub\LLM_MA_Agent_Project\00_evaluation\result\data\Jarvis_Island_rag_context.json,D:\Users\cheng\Documents\GitHub\LLM_MA_Agent_Project\00_evaluation\result\output\agent2 model deepseek v3.2\agent2\Jarvis Island_plan.json,Jarvis Island,method3,true,true,used_by_generation,used_by_generation,success,4.0,3.0,3.0,3.33,"The prose is clear and mostly polished, but the article lacks a lead, has somewhat uneven section choices, and repeats refuge details while placing some material in a less natural order.",,success,20.166,26.531,,success,3.0,3.0,4.0,4.0,3.5,,,,,success,0.0667,0.0833,0.0714,0.8,15,12,56,4,,success,0.5124,7,7,18,,,5,0,0,15,56,51,5,1,0.9107,success,5,42,0,,1.0,8.4,success,5,7,0.7,1.4,3,1,Geography and ecology,0,,0,success,1.0,Geography and ecology; History; National Wildlife Refuge; Transportation; Military,,
2026-05-10T18:39:35,D:\Users\cheng\Documents\GitHub\LLM_MA_Agent_Project\00_evaluation\result\output\agent2 model deepseek v3.2\result_method3_Jethou_20260508_011043.json,agent2 model deepseek v3.2,method3_ablation,D:\Users\cheng\Documents\GitHub\LLM_MA_Agent_Project\00_evaluation\result\output\agent2 model deepseek v3.2,D:\Users\cheng\Documents\GitHub\LLM_MA_Agent_Project\00_evaluation\result\output\agent2 model deepseek v3.2,D:\Users\cheng\Documents\GitHub\LLM_MA_Agent_Project\00_evaluation\result\output\agent2 model deepseek v3.2\agent2,D:\Users\cheng\Documents\GitHub\LLM_MA_Agent_Project\00_evaluation\evaluations\agent2_model_deepseek_v3.2\full_evaluation_agent2_model_deepseek_v3.2_20260510_182222.csv,,D:\Users\cheng\Documents\GitHub\LLM_MA_Agent_Project\00_evaluation\references\Jethou.txt,D:\Users\cheng\Documents\GitHub\LLM_MA_Agent_Project\00_evaluation\result\data\Jethou_rag_context.json,D:\Users\cheng\Documents\GitHub\LLM_MA_Agent_Project\00_evaluation\result\output\agent2 model deepseek v3.2\agent2\Jethou_plan.json,Jethou,method3,true,true,used_by_generation,used_by_generation,success,4.0,3.0,4.0,3.67,"The prose is clear and mostly natural, with logical flow across sections, but the structure is somewhat incomplete for a Wikipedia-style article because it lacks a lead and some core contextual sections.",,success,18.4823,29.8488,,success,2.0,2.0,4.0,3.0,2.75,,,,,success,0.0,0.0,0.0,1.0,4,4,27,0,,success,0.5923,6,6,6,,,4,0,0,4,27,25,2,2,0.9259,success,4,20,0,,1.0,5.0,success,4,6,1.0,1.5,3,1,History,0,,0,success,1.0,History; Governance; Wildlife; Jethou in popular culture,,
2026-05-10T18:41:13,D:\Users\cheng\Documents\GitHub\LLM_MA_Agent_Project\00_evaluation\result\output\agent2 model deepseek v3.2\result_method3_Kavachi_20260508_011226.json,agent2 model deepseek v3.2,method3_ablation,D:\Users\cheng\Documents\GitHub\LLM_MA_Agent_Project\00_evaluation\result\output\agent2 model deepseek v3.2,D:\Users\cheng\Documents\GitHub\LLM_MA_Agent_Project\00_evaluation\result\output\agent2 model deepseek v3.2,D:\Users\cheng\Documents\GitHub\LLM_MA_Agent_Project\00_evaluation\result\output\agent2 model deepseek v3.2\agent2,D:\Users\cheng\Documents\GitHub\LLM_MA_Agent_Project\00_evaluation\evaluations\agent2_model_deepseek_v3.2\full_evaluation_agent2_model_deepseek_v3.2_20260510_182222.csv,,D:\Users\cheng\Documents\GitHub\LLM_MA_Agent_Project\00_evaluation\references\Kavachi.txt,D:\Users\cheng\Documents\GitHub\LLM_MA_Agent_Project\00_evaluation\result\data\Kavachi_rag_context.json,D:\Users\cheng\Documents\GitHub\LLM_MA_Agent_Project\00_evaluation\result\output\agent2 model deepseek v3.2\agent2\Kavachi_plan.json,Kavachi,method3,true,true,used_by_generation,used_by_generation,success,5.0,4.0,4.0,4.33,"The prose is polished and readable with appropriate sections, though the article lacks a lead and the overall structure is somewhat compact.",,success,16.7224,38.0472,,success,4.0,4.0,5.0,4.0,4.25,,,,,success,0.0,0.0,0.0,1.0,3,3,37,0,,success,0.4641,3,3,3,,,3,0,0,3,37,32,5,2,0.8649,success,3,24,0,,1.0,8.0,success,3,3,1.0,1.0,2,1,Geography,0,,0,success,1.0,Geography; Eruptions; Marine life,,
2026-05-10T18:42:19,D:\Users\cheng\Documents\GitHub\LLM_MA_Agent_Project\00_evaluation\result\output\agent2 model deepseek v3.2\result_method3_Nishinoshima_(Ogasawara)_20260508_011400.json,agent2 model deepseek v3.2,method3_ablation,D:\Users\cheng\Documents\GitHub\LLM_MA_Agent_Project\00_evaluation\result\output\agent2 model deepseek v3.2,D:\Users\cheng\Documents\GitHub\LLM_MA_Agent_Project\00_evaluation\result\output\agent2 model deepseek v3.2,D:\Users\cheng\Documents\GitHub\LLM_MA_Agent_Project\00_evaluation\result\output\agent2 model deepseek v3.2\agent2,D:\Users\cheng\Documents\GitHub\LLM_MA_Agent_Project\00_evaluation\evaluations\agent2_model_deepseek_v3.2\full_evaluation_agent2_model_deepseek_v3.2_20260510_182222.csv,,D:\Users\cheng\Documents\GitHub\LLM_MA_Agent_Project\00_evaluation\references\Nishinoshima_(Ogasawara).txt,D:\Users\cheng\Documents\GitHub\LLM_MA_Agent_Project\00_evaluation\result\data\Nishinoshima_(Ogasawara)_rag_context.json,D:\Users\cheng\Documents\GitHub\LLM_MA_Agent_Project\00_evaluation\result\output\agent2 model deepseek v3.2\agent2\Nishinoshima (Ogasawara)_plan.json,Nishinoshima (Ogasawara),method3,true,true,used_by_generation,used_by_generation,success,4.0,3.0,4.0,3.67,"The prose is clear and mostly natural, with meaningful but incomplete Wikipedia-style sections and generally logical flow despite a missing lead and some uneven emphasis.",,success,11.3022,10.595,,success,3.0,4.0,4.0,4.0,3.75,,,,,success,0.25,0.25,0.1875,1.0,4,4,32,6,,success,0.5824,1,1,1,,,3,0,0,4,32,21,11,3,0.6562,success,3,18,0,,1.0,6.0,success,3,1,0.3333,0.3333,1,2,Etymology; Geology,0,,0,success,1.0,Etymology; Geology; Ecology,,
2026-05-10T18:43:29,D:\Users\cheng\Documents\GitHub\LLM_MA_Agent_Project\00_evaluation\result\output\agent2 model deepseek v3.2\result_method3_Surtsey_20260508_011642.json,agent2 model deepseek v3.2,method3_ablation,D:\Users\cheng\Documents\GitHub\LLM_MA_Agent_Project\00_evaluation\result\output\agent2 model deepseek v3.2,D:\Users\cheng\Documents\GitHub\LLM_MA_Agent_Project\00_evaluation\result\output\agent2 model deepseek v3.2,D:\Users\cheng\Documents\GitHub\LLM_MA_Agent_Project\00_evaluation\result\output\agent2 model deepseek v3.2\agent2,D:\Users\cheng\Documents\GitHub\LLM_MA_Agent_Project\00_evaluation\evaluations\agent2_model_deepseek_v3.2\full_evaluation_agent2_model_deepseek_v3.2_20260510_182222.csv,,D:\Users\cheng\Documents\GitHub\LLM_MA_Agent_Project\00_evaluation\references\Surtsey.txt,D:\Users\cheng\Documents\GitHub\LLM_MA_Agent_Project\00_evaluation\result\data\Surtsey_rag_context.json,D:\Users\cheng\Documents\GitHub\LLM_MA_Agent_Project\00_evaluation\result\output\agent2 model deepseek v3.2\agent2\Surtsey_plan.json,Surtsey,method3,true,true,used_by_generation,used_by_generation,success,4.0,3.0,4.0,3.67,"The prose is clear and mostly polished, but the article lacks a lead and has an uneven section outline with some repetition in the recent developments section.",,success,11.5163,14.1533,,success,3.0,4.0,5.0,4.0,4.0,,,,,success,0.25,0.25,0.0377,1.0,4,4,53,2,,success,0.5434,6,6,6,,,4,0,0,4,53,50,3,1,0.9434,success,4,22,0,,1.0,5.5,success,4,6,1.0,1.5,3,1,Geology,0,,0,success,1.0,Geology; Biology; Human impact; Recent development,,
2026-05-10T18:46:08,D:\Users\cheng\Documents\GitHub\LLM_MA_Agent_Project\00_evaluation\result\output\agent2 model deepseek v3.2\result_method3_Tromelin_Island_20260508_012948.json,agent2 model deepseek v3.2,method3_ablation,D:\Users\cheng\Documents\GitHub\LLM_MA_Agent_Project\00_evaluation\result\output\agent2 model deepseek v3.2,D:\Users\cheng\Documents\GitHub\LLM_MA_Agent_Project\00_evaluation\result\output\agent2 model deepseek v3.2,D:\Users\cheng\Documents\GitHub\LLM_MA_Agent_Project\00_evaluation\result\output\agent2 model deepseek v3.2\agent2,D:\Users\cheng\Documents\GitHub\LLM_MA_Agent_Project\00_evaluation\evaluations\agent2_model_deepseek_v3.2\full_evaluation_agent2_model_deepseek_v3.2_20260510_182222.csv,,D:\Users\cheng\Documents\GitHub\LLM_MA_Agent_Project\00_evaluation\references\Tromelin.txt,D:\Users\cheng\Documents\GitHub\LLM_MA_Agent_Project\00_evaluation\result\data\Tromelin_Island_rag_context.json,D:\Users\cheng\Documents\GitHub\LLM_MA_Agent_Project\00_evaluation\result\output\agent2 model deepseek v3.2\agent2\Tromelin Island_plan.json,Tromelin Island,method3,true,true,used_by_generation,used_by_generation,success,4.0,4.0,4.0,4.0,"The prose is clear and mostly natural with appropriate sections, though the lack of a lead and some overlap between description and ecology slightly weaken structure and flow.",,success,17.0871,16.9335,,success,4.0,3.0,5.0,4.0,4.0,,,,,success,0.2,0.2,0.0417,1.0,5,5,48,2,,success,0.5021,5,5,5,,,5,0,0,5,48,45,3,3,0.9375,success,5,33,0,,1.0,6.6,success,5,5,0.5,1.0,3,2,Etymology; Description,0,,0,success,1.0,Etymology; Description; Fauna and flora; History; Climate,,
