timestamp,source_file,variant_name,variant_type,variant_dir,variant_input_dir,variant_plan_dir,variant_output_csv,input_json,reference_file,context_file,plan_file,island_name,method,uses_retrieval_context,uses_agent2_plan,context_artifact_role,agent2_plan_artifact_role,writing_status,fluency_score,structure_score,organization_score,writing_score,writing_rationale,writing_error,informativeness_status,rouge_l,meteor,informativeness_error,concept_status,concept_coverage_score,concept_accuracy_score,concept_relevance_score,concept_organization_score,concept_score,missing_key_concepts,inaccurate_or_unsupported_concepts,concept_rationale,concept_error,verifiability_status,citation_recall,citation_precision,citation_link_precision,citation_rate,num_sentences,num_cited_sentences,num_citation_links,num_supported_citation_links,verifiability_error,cscs_status,cscs,cscs_edges,cscs_checked_edges,cscs_checked_facts,cscs_error,diagnostics_error,generated_section_count,generated_empty_section_count,generated_error_section_count,generated_sentence_count,citation_marker_count,valid_citation_marker_count,invalid_citation_marker_count,sections_with_invalid_citations,citation_index_validity,context_status,context_section_count,context_total_chunks,context_empty_chunk_section_count,context_empty_chunk_sections,context_chunk_coverage,context_avg_chunks_per_section,plan_status,plan_node_count,plan_edge_count,plan_graph_density,plan_avg_dependencies,plan_max_dependencies,plan_source_node_count,plan_source_nodes,plan_missing_summary_count,plan_missing_summaries,plan_order_violation_count,plan_output_alignment_status,planned_section_coverage,matched_planned_sections,missing_planned_sections,extra_generated_sections
2026-05-10T22:15:13,D:\Users\cheng\Documents\GitHub\LLM_MA_Agent_Project\00_evaluation\result\output\rerank_scope global\result_method3_Brecqhou_20260509_150957.json,rerank_scope global,method3_ablation,D:\Users\cheng\Documents\GitHub\LLM_MA_Agent_Project\00_evaluation\result\output\rerank_scope global,D:\Users\cheng\Documents\GitHub\LLM_MA_Agent_Project\00_evaluation\result\output\rerank_scope global,D:\Users\cheng\Documents\GitHub\LLM_MA_Agent_Project\00_evaluation\result\output\rerank_scope global\agent2,D:\Users\cheng\Documents\GitHub\LLM_MA_Agent_Project\00_evaluation\evaluations\rerank_scope_global\full_evaluation_rerank_scope_global_20260510_182222.csv,,D:\Users\cheng\Documents\GitHub\LLM_MA_Agent_Project\00_evaluation\references\Brecqhou.txt,D:\Users\cheng\Documents\GitHub\LLM_MA_Agent_Project\00_evaluation\result\data\Brecqhou_rag_context.json,,Brecqhou,method3,true,true,used_by_generation,missing_plan,success,4.0,3.0,3.0,3.33,"The prose is mostly clear and readable, but the article lacks a lead, has an awkward notes section that interrupts the main content, and presents sections in an uneven order.",,success,18.0119,32.3278,,success,3.0,3.0,4.0,3.0,3.25,,,,,success,0.25,0.25,0.0577,1.0,8,8,52,3,,missing_plan,,0,0,0,No Agent 2 plan found.,,7,0,0,8,52,43,9,5,0.8269,success,7,46,0,,1.0,6.5714,missing_plan,,,,,,,,,,,missing_plan,,,,
2026-05-10T22:18:34,D:\Users\cheng\Documents\GitHub\LLM_MA_Agent_Project\00_evaluation\result\output\rerank_scope global\result_method3_Hashima_Island_20260509_151331.json,rerank_scope global,method3_ablation,D:\Users\cheng\Documents\GitHub\LLM_MA_Agent_Project\00_evaluation\result\output\rerank_scope global,D:\Users\cheng\Documents\GitHub\LLM_MA_Agent_Project\00_evaluation\result\output\rerank_scope global,D:\Users\cheng\Documents\GitHub\LLM_MA_Agent_Project\00_evaluation\result\output\rerank_scope global\agent2,D:\Users\cheng\Documents\GitHub\LLM_MA_Agent_Project\00_evaluation\evaluations\rerank_scope_global\full_evaluation_rerank_scope_global_20260510_182222.csv,,D:\Users\cheng\Documents\GitHub\LLM_MA_Agent_Project\00_evaluation\references\Hashima.txt,D:\Users\cheng\Documents\GitHub\LLM_MA_Agent_Project\00_evaluation\result\data\Hashima_Island_rag_context.json,D:\Users\cheng\Documents\GitHub\LLM_MA_Agent_Project\00_evaluation\result\output\rerank_scope global\agent2\Hashima Island_plan.json,Hashima Island,method3,true,true,used_by_generation,used_by_generation,success,4.0,4.0,4.0,4.0,"The prose is clear and mostly polished with appropriate sections, though the lack of a lead and some overlap between current status and controversy sections make the structure and flow slightly less effective.",,success,16.4183,19.8222,,success,4.0,4.0,5.0,4.0,4.25,,,,,success,0.0,0.0,0.0,1.0,6,6,57,0,,success,0.4445,15,15,15,,,6,0,0,6,57,44,13,4,0.7719,success,6,49,0,,1.0,8.1667,success,6,15,1.0,2.5,5,1,Etymology,0,,0,success,1.0,Etymology; History; Access; Current status; World Heritage Site approval controversy; In popular culture,,
2026-05-10T22:20:34,D:\Users\cheng\Documents\GitHub\LLM_MA_Agent_Project\00_evaluation\result\output\rerank_scope global\result_method3_Howland_Island_20260509_151719.json,rerank_scope global,method3_ablation,D:\Users\cheng\Documents\GitHub\LLM_MA_Agent_Project\00_evaluation\result\output\rerank_scope global,D:\Users\cheng\Documents\GitHub\LLM_MA_Agent_Project\00_evaluation\result\output\rerank_scope global,D:\Users\cheng\Documents\GitHub\LLM_MA_Agent_Project\00_evaluation\result\output\rerank_scope global\agent2,D:\Users\cheng\Documents\GitHub\LLM_MA_Agent_Project\00_evaluation\evaluations\rerank_scope_global\full_evaluation_rerank_scope_global_20260510_182222.csv,,D:\Users\cheng\Documents\GitHub\LLM_MA_Agent_Project\00_evaluation\references\Howland.txt,D:\Users\cheng\Documents\GitHub\LLM_MA_Agent_Project\00_evaluation\result\data\Howland_Island_rag_context.json,D:\Users\cheng\Documents\GitHub\LLM_MA_Agent_Project\00_evaluation\result\output\rerank_scope global\agent2\Howland Island_plan.json,Howland Island,method3,true,true,used_by_generation,used_by_generation,success,4.0,3.0,3.0,3.33,"The prose is mostly clear and readable, but the article lacks a lead, uses an uneven section order, and includes a gallery section written as descriptive notes rather than integrated encyclopedic content.",,success,14.1007,16.0412,,success,3.0,3.0,4.0,3.0,3.25,,,,,success,0.0,0.0,0.0,0.8182,11,9,63,0,,success,0.4248,12,12,21,,,7,0,0,11,63,40,23,6,0.6349,success,7,29,1,Flora and fauna,0.8571,4.1429,success,7,12,0.5714,1.7143,4,3,Flora and fauna; Economics; Time zone,1,Flora and fauna,0,success,1.0,Flora and fauna; Economics; Time zone; History; National Wildlife Refuge; Earhart Light; Image gallery,,
2026-05-10T22:22:36,D:\Users\cheng\Documents\GitHub\LLM_MA_Agent_Project\00_evaluation\result\output\rerank_scope global\result_method3_Hunga_Tonga–Hunga_Ha_apai_20260509_152021.json,rerank_scope global,method3_ablation,D:\Users\cheng\Documents\GitHub\LLM_MA_Agent_Project\00_evaluation\result\output\rerank_scope global,D:\Users\cheng\Documents\GitHub\LLM_MA_Agent_Project\00_evaluation\result\output\rerank_scope global,D:\Users\cheng\Documents\GitHub\LLM_MA_Agent_Project\00_evaluation\result\output\rerank_scope global\agent2,D:\Users\cheng\Documents\GitHub\LLM_MA_Agent_Project\00_evaluation\evaluations\rerank_scope_global\full_evaluation_rerank_scope_global_20260510_182222.csv,,D:\Users\cheng\Documents\GitHub\LLM_MA_Agent_Project\00_evaluation\references\Hunga_Tonga_Hunga_Ha_apai.txt,D:\Users\cheng\Documents\GitHub\LLM_MA_Agent_Project\00_evaluation\result\data\Hunga_Tonga–Hunga_Ha_apai_rag_context.json,D:\Users\cheng\Documents\GitHub\LLM_MA_Agent_Project\00_evaluation\result\output\rerank_scope global\agent2\Hunga_Tonga–Hunga_Ha_apai_plan.json,Hunga Tonga–Hunga Haʻapai,method3,true,true,used_by_generation,used_by_generation,success,4.0,3.0,3.0,3.33,"The prose is clear and mostly polished, but the article lacks a proper lead, uses an awkward Footnotes section as duplicated summary content, and has some uneven placement and repetition of eruption impacts.",,success,15.0404,17.1289,,success,3.0,3.0,4.0,3.0,3.25,,,,,success,0.3333,0.3333,0.1017,1.0,6,6,59,6,,success,0.5649,3,3,5,,,4,0,0,6,59,49,10,2,0.8305,success,4,27,0,,1.0,6.75,success,4,3,0.5,0.75,2,2,Volcano and caldera; Footnotes,0,,0,success,1.0,Volcano and caldera; Geography; Eruptions; Footnotes,,
2026-05-10T22:25:38,D:\Users\cheng\Documents\GitHub\LLM_MA_Agent_Project\00_evaluation\result\output\rerank_scope global\result_method3_Jarvis_Island_20260509_152308.json,rerank_scope global,method3_ablation,D:\Users\cheng\Documents\GitHub\LLM_MA_Agent_Project\00_evaluation\result\output\rerank_scope global,D:\Users\cheng\Documents\GitHub\LLM_MA_Agent_Project\00_evaluation\result\output\rerank_scope global,D:\Users\cheng\Documents\GitHub\LLM_MA_Agent_Project\00_evaluation\result\output\rerank_scope global\agent2,D:\Users\cheng\Documents\GitHub\LLM_MA_Agent_Project\00_evaluation\evaluations\rerank_scope_global\full_evaluation_rerank_scope_global_20260510_182222.csv,,D:\Users\cheng\Documents\GitHub\LLM_MA_Agent_Project\00_evaluation\references\Jarvis.txt,D:\Users\cheng\Documents\GitHub\LLM_MA_Agent_Project\00_evaluation\result\data\Jarvis_Island_rag_context.json,D:\Users\cheng\Documents\GitHub\LLM_MA_Agent_Project\00_evaluation\result\output\rerank_scope global\agent2\Jarvis Island_plan.json,Jarvis Island,method3,true,true,used_by_generation,used_by_generation,success,4.0,3.0,3.0,3.33,"The prose is generally clear and Wikipedia-like, but the article lacks a lead section and has somewhat uneven section placement with some overlap between history, refuge management, and military content.",,success,17.1237,22.1129,,success,3.0,3.0,4.0,4.0,3.5,,,,,success,0.0833,0.1,0.2045,0.8333,12,10,44,9,,success,0.4864,6,6,12,,,5,0,0,12,44,38,6,3,0.8636,success,5,42,0,,1.0,8.4,success,5,6,0.6,1.2,3,2,Geography and ecology; Transportation,0,,0,success,1.0,Geography and ecology; History; National Wildlife Refuge; Transportation; Military,,
2026-05-10T22:27:27,D:\Users\cheng\Documents\GitHub\LLM_MA_Agent_Project\00_evaluation\result\output\rerank_scope global\result_method3_Jethou_20260509_152542.json,rerank_scope global,method3_ablation,D:\Users\cheng\Documents\GitHub\LLM_MA_Agent_Project\00_evaluation\result\output\rerank_scope global,D:\Users\cheng\Documents\GitHub\LLM_MA_Agent_Project\00_evaluation\result\output\rerank_scope global,D:\Users\cheng\Documents\GitHub\LLM_MA_Agent_Project\00_evaluation\result\output\rerank_scope global\agent2,D:\Users\cheng\Documents\GitHub\LLM_MA_Agent_Project\00_evaluation\evaluations\rerank_scope_global\full_evaluation_rerank_scope_global_20260510_182222.csv,,D:\Users\cheng\Documents\GitHub\LLM_MA_Agent_Project\00_evaluation\references\Jethou.txt,D:\Users\cheng\Documents\GitHub\LLM_MA_Agent_Project\00_evaluation\result\data\Jethou_rag_context.json,D:\Users\cheng\Documents\GitHub\LLM_MA_Agent_Project\00_evaluation\result\output\rerank_scope global\agent2\Jethou_plan.json,Jethou,method3,true,true,used_by_generation,used_by_generation,success,4.0,3.0,4.0,3.67,"The prose is clear and mostly natural, with appropriate but incomplete sectioning for a Wikipedia-style article and generally logical flow despite some repetition around access and governance.",,success,18.2692,27.3118,,success,3.0,3.0,4.0,3.0,3.25,,,,,success,0.0,0.0,0.0,1.0,4,4,29,0,,success,0.5728,2,2,2,,,4,0,0,4,29,18,11,4,0.6207,success,4,20,0,,1.0,5.0,success,4,2,0.3333,0.5,2,3,History; Governance; Jethou in popular culture,0,,0,success,1.0,History; Governance; Wildlife; Jethou in popular culture,,
2026-05-10T22:28:38,D:\Users\cheng\Documents\GitHub\LLM_MA_Agent_Project\00_evaluation\result\output\rerank_scope global\result_method3_Kavachi_20260509_152720.json,rerank_scope global,method3_ablation,D:\Users\cheng\Documents\GitHub\LLM_MA_Agent_Project\00_evaluation\result\output\rerank_scope global,D:\Users\cheng\Documents\GitHub\LLM_MA_Agent_Project\00_evaluation\result\output\rerank_scope global,D:\Users\cheng\Documents\GitHub\LLM_MA_Agent_Project\00_evaluation\result\output\rerank_scope global\agent2,D:\Users\cheng\Documents\GitHub\LLM_MA_Agent_Project\00_evaluation\evaluations\rerank_scope_global\full_evaluation_rerank_scope_global_20260510_182222.csv,,D:\Users\cheng\Documents\GitHub\LLM_MA_Agent_Project\00_evaluation\references\Kavachi.txt,D:\Users\cheng\Documents\GitHub\LLM_MA_Agent_Project\00_evaluation\result\data\Kavachi_rag_context.json,D:\Users\cheng\Documents\GitHub\LLM_MA_Agent_Project\00_evaluation\result\output\rerank_scope global\agent2\Kavachi_plan.json,Kavachi,method3,true,true,used_by_generation,used_by_generation,success,5.0,4.0,4.0,4.33,"The prose is clear and polished with appropriate sections, though the article lacks a lead and repeats some eruption-related details across sections.",,success,16.0096,31.6595,,success,4.0,4.0,5.0,4.0,4.25,,,,,success,0.0,0.0,0.0,1.0,3,3,36,0,,success,0.4537,1,1,1,,,3,0,0,3,36,31,5,1,0.8611,success,3,24,0,,1.0,8.0,success,3,1,0.3333,0.3333,1,2,Geography; Eruptions,0,,0,success,1.0,Geography; Eruptions; Marine life,,
2026-05-10T22:29:44,D:\Users\cheng\Documents\GitHub\LLM_MA_Agent_Project\00_evaluation\result\output\rerank_scope global\result_method3_Nishinoshima_(Ogasawara)_20260509_152855.json,rerank_scope global,method3_ablation,D:\Users\cheng\Documents\GitHub\LLM_MA_Agent_Project\00_evaluation\result\output\rerank_scope global,D:\Users\cheng\Documents\GitHub\LLM_MA_Agent_Project\00_evaluation\result\output\rerank_scope global,D:\Users\cheng\Documents\GitHub\LLM_MA_Agent_Project\00_evaluation\result\output\rerank_scope global\agent2,D:\Users\cheng\Documents\GitHub\LLM_MA_Agent_Project\00_evaluation\evaluations\rerank_scope_global\full_evaluation_rerank_scope_global_20260510_182222.csv,,D:\Users\cheng\Documents\GitHub\LLM_MA_Agent_Project\00_evaluation\references\Nishinoshima_(Ogasawara).txt,D:\Users\cheng\Documents\GitHub\LLM_MA_Agent_Project\00_evaluation\result\data\Nishinoshima_(Ogasawara)_rag_context.json,D:\Users\cheng\Documents\GitHub\LLM_MA_Agent_Project\00_evaluation\result\output\rerank_scope global\agent2\Nishinoshima (Ogasawara)_plan.json,Nishinoshima (Ogasawara),method3,true,true,used_by_generation,used_by_generation,success,4.0,3.0,4.0,3.67,"The prose is clear and mostly natural with a logical flow, but the article lacks a lead and has a somewhat limited section structure for a full Wikipedia-style entry.",,success,10.7052,9.0344,,success,3.0,4.0,5.0,4.0,4.0,,,,,success,0.5,0.5,0.0833,1.0,4,4,24,2,,success,0.5894,1,1,1,,,3,0,0,4,24,5,19,3,0.2083,success,3,18,0,,1.0,6.0,success,3,1,0.3333,0.3333,1,2,Etymology; Geology,0,,0,success,1.0,Etymology; Geology; Ecology,,
2026-05-10T22:30:05,D:\Users\cheng\Documents\GitHub\LLM_MA_Agent_Project\00_evaluation\result\output\rerank_scope global\result_method3_Surtsey_20260509_153115.json,rerank_scope global,method3_ablation,D:\Users\cheng\Documents\GitHub\LLM_MA_Agent_Project\00_evaluation\result\output\rerank_scope global,D:\Users\cheng\Documents\GitHub\LLM_MA_Agent_Project\00_evaluation\result\output\rerank_scope global,D:\Users\cheng\Documents\GitHub\LLM_MA_Agent_Project\00_evaluation\result\output\rerank_scope global\agent2,D:\Users\cheng\Documents\GitHub\LLM_MA_Agent_Project\00_evaluation\evaluations\rerank_scope_global\full_evaluation_rerank_scope_global_20260510_182222.csv,,D:\Users\cheng\Documents\GitHub\LLM_MA_Agent_Project\00_evaluation\references\Surtsey.txt,D:\Users\cheng\Documents\GitHub\LLM_MA_Agent_Project\00_evaluation\result\data\Surtsey_rag_context.json,D:\Users\cheng\Documents\GitHub\LLM_MA_Agent_Project\00_evaluation\result\output\rerank_scope global\agent2\Surtsey_plan.json,Surtsey,method3,true,true,used_by_generation,used_by_generation,success,4.0,3.0,3.0,3.33,"The prose is mostly clear and readable, but the article lacks a lead, uses an uneven 'Recent development' section, and has some repetition and awkward flow between geology, research, and biology topics.",,success,11.471,13.1124,,success,3.0,4.0,4.0,4.0,3.75,,,,,success,0.0,0.0,0.0,1.0,4,4,51,0,,success,0.5065,6,6,6,,,4,0,0,4,51,48,3,1,0.9412,success,4,22,0,,1.0,5.5,success,4,6,1.0,1.5,3,1,Geology,0,,0,success,1.0,Geology; Recent development; Biology; Human impact,,
2026-05-10T22:32:03,D:\Users\cheng\Documents\GitHub\LLM_MA_Agent_Project\00_evaluation\result\output\rerank_scope global\result_method3_Tromelin_Island_20260509_153347.json,rerank_scope global,method3_ablation,D:\Users\cheng\Documents\GitHub\LLM_MA_Agent_Project\00_evaluation\result\output\rerank_scope global,D:\Users\cheng\Documents\GitHub\LLM_MA_Agent_Project\00_evaluation\result\output\rerank_scope global,D:\Users\cheng\Documents\GitHub\LLM_MA_Agent_Project\00_evaluation\result\output\rerank_scope global\agent2,D:\Users\cheng\Documents\GitHub\LLM_MA_Agent_Project\00_evaluation\evaluations\rerank_scope_global\full_evaluation_rerank_scope_global_20260510_182222.csv,,D:\Users\cheng\Documents\GitHub\LLM_MA_Agent_Project\00_evaluation\references\Tromelin.txt,D:\Users\cheng\Documents\GitHub\LLM_MA_Agent_Project\00_evaluation\result\data\Tromelin_Island_rag_context.json,D:\Users\cheng\Documents\GitHub\LLM_MA_Agent_Project\00_evaluation\result\output\rerank_scope global\agent2\Tromelin Island_plan.json,Tromelin Island,method3,true,true,used_by_generation,used_by_generation,success,4.0,3.0,4.0,3.67,"The prose is clear and mostly natural, with appropriate but somewhat incomplete Wikipedia-style sectioning due to the lack of a lead and mild repetition in administrative and sovereignty details.",,success,17.838,15.4915,,success,3.0,4.0,5.0,4.0,4.0,,,,,success,0.4,0.4,0.2444,1.0,5,5,45,11,,success,0.4476,3,3,3,,,5,0,0,5,45,32,13,5,0.7111,success,5,33,0,,1.0,6.6,success,5,3,0.3,0.6,2,3,Etymology; Description; Climate,0,,0,success,1.0,Etymology; Description; Fauna and flora; History; Climate,,
