timestamp,source_file,variant_name,variant_type,variant_dir,variant_input_dir,variant_plan_dir,variant_output_csv,input_json,reference_file,context_file,plan_file,island_name,method,uses_retrieval_context,uses_agent2_plan,context_artifact_role,agent2_plan_artifact_role,writing_status,fluency_score,structure_score,organization_score,writing_score,writing_rationale,writing_error,informativeness_status,rouge_l,meteor,informativeness_error,concept_status,concept_coverage_score,concept_accuracy_score,concept_relevance_score,concept_organization_score,concept_score,missing_key_concepts,inaccurate_or_unsupported_concepts,concept_rationale,concept_error,verifiability_status,citation_recall,citation_precision,citation_link_precision,citation_rate,num_sentences,num_cited_sentences,num_citation_links,num_supported_citation_links,verifiability_error,cscs_status,cscs,cscs_edges,cscs_checked_edges,cscs_checked_facts,cscs_error,diagnostics_error,generated_section_count,generated_empty_section_count,generated_error_section_count,generated_sentence_count,citation_marker_count,valid_citation_marker_count,invalid_citation_marker_count,sections_with_invalid_citations,citation_index_validity,context_status,context_section_count,context_total_chunks,context_empty_chunk_section_count,context_empty_chunk_sections,context_chunk_coverage,context_avg_chunks_per_section,plan_status,plan_node_count,plan_edge_count,plan_graph_density,plan_avg_dependencies,plan_max_dependencies,plan_source_node_count,plan_source_nodes,plan_missing_summary_count,plan_missing_summaries,plan_order_violation_count,plan_output_alignment_status,planned_section_coverage,matched_planned_sections,missing_planned_sections,extra_generated_sections
2026-05-10T19:13:21,D:\Users\cheng\Documents\GitHub\LLM_MA_Agent_Project\00_evaluation\result\output\agent2 model qwen3.6 plus\result_method3_Brecqhou_20260508_034739.json,agent2 model qwen3.6 plus,method3_ablation,D:\Users\cheng\Documents\GitHub\LLM_MA_Agent_Project\00_evaluation\result\output\agent2 model qwen3.6 plus,D:\Users\cheng\Documents\GitHub\LLM_MA_Agent_Project\00_evaluation\result\output\agent2 model qwen3.6 plus,D:\Users\cheng\Documents\GitHub\LLM_MA_Agent_Project\00_evaluation\result\output\agent2 model qwen3.6 plus\agent2,D:\Users\cheng\Documents\GitHub\LLM_MA_Agent_Project\00_evaluation\evaluations\agent2_model_qwen3.6_plus\full_evaluation_agent2_model_qwen3.6_plus_20260510_182222.csv,,D:\Users\cheng\Documents\GitHub\LLM_MA_Agent_Project\00_evaluation\references\Brecqhou.txt,D:\Users\cheng\Documents\GitHub\LLM_MA_Agent_Project\00_evaluation\result\data\Brecqhou_rag_context.json,D:\Users\cheng\Documents\GitHub\LLM_MA_Agent_Project\00_evaluation\result\output\agent2 model qwen3.6 plus\agent2\Brecqhou_plan.json,Brecqhou,method3,true,true,used_by_generation,used_by_generation,success,4.0,3.0,3.0,3.33,"The prose is mostly clear and Wikipedia-like, but the article lacks a lead, has an odd prose-based notes section, and shows some repetition and uneven flow around jurisdictional material.",,success,18.5665,31.715,,success,4.0,3.0,4.0,4.0,3.75,,,,,success,0.5714,0.5714,0.1228,1.0,7,7,57,7,,success,0.4716,7,7,7,,,7,0,0,7,57,54,3,2,0.9474,success,7,46,0,,1.0,6.5714,success,7,7,0.3333,1.0,2,2,Name; Geography,0,,0,success,1.0,Name; Geography; Feudal relationship with Sark; Fort Brecqhou; Flag and stamps; Public visits; Notes and references,,
2026-05-10T19:17:59,D:\Users\cheng\Documents\GitHub\LLM_MA_Agent_Project\00_evaluation\result\output\agent2 model qwen3.6 plus\result_method3_Hashima_Island_20260508_045359.json,agent2 model qwen3.6 plus,method3_ablation,D:\Users\cheng\Documents\GitHub\LLM_MA_Agent_Project\00_evaluation\result\output\agent2 model qwen3.6 plus,D:\Users\cheng\Documents\GitHub\LLM_MA_Agent_Project\00_evaluation\result\output\agent2 model qwen3.6 plus,D:\Users\cheng\Documents\GitHub\LLM_MA_Agent_Project\00_evaluation\result\output\agent2 model qwen3.6 plus\agent2,D:\Users\cheng\Documents\GitHub\LLM_MA_Agent_Project\00_evaluation\evaluations\agent2_model_qwen3.6_plus\full_evaluation_agent2_model_qwen3.6_plus_20260510_182222.csv,,D:\Users\cheng\Documents\GitHub\LLM_MA_Agent_Project\00_evaluation\references\Hashima.txt,D:\Users\cheng\Documents\GitHub\LLM_MA_Agent_Project\00_evaluation\result\data\Hashima_Island_rag_context.json,D:\Users\cheng\Documents\GitHub\LLM_MA_Agent_Project\00_evaluation\result\output\agent2 model qwen3.6 plus\agent2\Hashima Island_plan.json,Hashima Island,method3,true,true,used_by_generation,used_by_generation,success,4.0,4.0,4.0,4.0,"The prose is clear and mostly polished with appropriate sections, though the article lacks a lead and has some dense, repetitive discussion of heritage controversy across sections.",,success,14.5631,21.6324,,success,3.0,4.0,4.0,4.0,3.75,,,,,success,0.0,0.0,0.0,1.0,6,6,70,0,,success,0.4741,15,15,15,,,6,0,0,6,70,64,6,3,0.9143,success,6,49,0,,1.0,8.1667,success,6,15,1.0,2.5,5,1,Etymology,0,,0,success,1.0,Etymology; History; Current status; Access; World Heritage Site approval controversy; In popular culture,,
2026-05-10T19:19:40,D:\Users\cheng\Documents\GitHub\LLM_MA_Agent_Project\00_evaluation\result\output\agent2 model qwen3.6 plus\result_method3_Howland_Island_20260508_052523.json,agent2 model qwen3.6 plus,method3_ablation,D:\Users\cheng\Documents\GitHub\LLM_MA_Agent_Project\00_evaluation\result\output\agent2 model qwen3.6 plus,D:\Users\cheng\Documents\GitHub\LLM_MA_Agent_Project\00_evaluation\result\output\agent2 model qwen3.6 plus,D:\Users\cheng\Documents\GitHub\LLM_MA_Agent_Project\00_evaluation\result\output\agent2 model qwen3.6 plus\agent2,D:\Users\cheng\Documents\GitHub\LLM_MA_Agent_Project\00_evaluation\evaluations\agent2_model_qwen3.6_plus\full_evaluation_agent2_model_qwen3.6_plus_20260510_182222.csv,,D:\Users\cheng\Documents\GitHub\LLM_MA_Agent_Project\00_evaluation\references\Howland.txt,D:\Users\cheng\Documents\GitHub\LLM_MA_Agent_Project\00_evaluation\result\data\Howland_Island_rag_context.json,D:\Users\cheng\Documents\GitHub\LLM_MA_Agent_Project\00_evaluation\result\output\agent2 model qwen3.6 plus\agent2\Howland Island_plan.json,Howland Island,method3,true,true,used_by_generation,used_by_generation,success,4.0,3.0,3.0,3.33,"The prose is mostly clear and readable, but the article lacks a lead, begins with an inappropriate meta statement, has an uneven section order, and includes some choppy or non-encyclopedic gallery text.",,success,14.9233,17.8637,,success,3.0,3.0,4.0,3.0,3.25,,,,,success,0.1765,0.1875,0.1186,0.9412,17,16,59,7,,success,0.3693,11,11,28,,,7,0,0,17,59,53,6,2,0.8983,success,7,29,1,Flora and fauna,0.8571,4.1429,success,7,11,0.5238,1.5714,4,2,Flora and fauna; Time zone,1,Flora and fauna,0,success,1.0,Flora and fauna; Economics; Time zone; History; National Wildlife Refuge; Earhart Light; Image gallery,,
2026-05-10T19:21:54,D:\Users\cheng\Documents\GitHub\LLM_MA_Agent_Project\00_evaluation\result\output\agent2 model qwen3.6 plus\result_method3_Hunga_Tonga–Hunga_Ha_apai_20260508_053123.json,agent2 model qwen3.6 plus,method3_ablation,D:\Users\cheng\Documents\GitHub\LLM_MA_Agent_Project\00_evaluation\result\output\agent2 model qwen3.6 plus,D:\Users\cheng\Documents\GitHub\LLM_MA_Agent_Project\00_evaluation\result\output\agent2 model qwen3.6 plus,D:\Users\cheng\Documents\GitHub\LLM_MA_Agent_Project\00_evaluation\result\output\agent2 model qwen3.6 plus\agent2,D:\Users\cheng\Documents\GitHub\LLM_MA_Agent_Project\00_evaluation\evaluations\agent2_model_qwen3.6_plus\full_evaluation_agent2_model_qwen3.6_plus_20260510_182222.csv,,D:\Users\cheng\Documents\GitHub\LLM_MA_Agent_Project\00_evaluation\references\Hunga_Tonga_Hunga_Ha_apai.txt,D:\Users\cheng\Documents\GitHub\LLM_MA_Agent_Project\00_evaluation\result\data\Hunga_Tonga–Hunga_Ha_apai_rag_context.json,D:\Users\cheng\Documents\GitHub\LLM_MA_Agent_Project\00_evaluation\result\output\agent2 model qwen3.6 plus\agent2\Hunga_Tonga–Hunga_Ha_apai_plan.json,Hunga Tonga–Hunga Haʻapai,method3,true,true,used_by_generation,used_by_generation,success,4.0,3.0,3.0,3.33,"The prose is generally clear and readable, but the article lacks a lead, misuses a Footnotes section for substantive content, and includes noticeable repetition and some misplaced summary material.",,success,15.3638,19.0257,,success,3.0,3.0,5.0,3.0,3.5,,,,,success,0.1667,0.2,0.0784,0.8333,6,5,51,4,,success,0.5662,3,3,5,,,4,0,0,6,51,32,19,2,0.6275,success,4,27,0,,1.0,6.75,success,4,3,0.5,0.75,2,2,Volcano and caldera; Footnotes,0,,0,success,1.0,Volcano and caldera; Geography; Eruptions; Footnotes,,
2026-05-10T19:24:20,D:\Users\cheng\Documents\GitHub\LLM_MA_Agent_Project\00_evaluation\result\output\agent2 model qwen3.6 plus\result_method3_Jarvis_Island_20260508_055200.json,agent2 model qwen3.6 plus,method3_ablation,D:\Users\cheng\Documents\GitHub\LLM_MA_Agent_Project\00_evaluation\result\output\agent2 model qwen3.6 plus,D:\Users\cheng\Documents\GitHub\LLM_MA_Agent_Project\00_evaluation\result\output\agent2 model qwen3.6 plus,D:\Users\cheng\Documents\GitHub\LLM_MA_Agent_Project\00_evaluation\result\output\agent2 model qwen3.6 plus\agent2,D:\Users\cheng\Documents\GitHub\LLM_MA_Agent_Project\00_evaluation\evaluations\agent2_model_qwen3.6_plus\full_evaluation_agent2_model_qwen3.6_plus_20260510_182222.csv,,D:\Users\cheng\Documents\GitHub\LLM_MA_Agent_Project\00_evaluation\references\Jarvis.txt,D:\Users\cheng\Documents\GitHub\LLM_MA_Agent_Project\00_evaluation\result\data\Jarvis_Island_rag_context.json,D:\Users\cheng\Documents\GitHub\LLM_MA_Agent_Project\00_evaluation\result\output\agent2 model qwen3.6 plus\agent2\Jarvis Island_plan.json,Jarvis Island,method3,true,true,used_by_generation,used_by_generation,success,4.0,4.0,4.0,4.0,"The prose is clear and mostly polished with appropriate sections, though the article lacks a lead and some sections are uneven or overly detail-focused.",,success,18.7156,26.1697,,success,4.0,3.0,5.0,4.0,4.0,,,,,success,0.0667,0.0769,0.1228,0.8667,15,13,57,7,,success,0.5091,6,6,16,,,5,0,0,15,57,50,7,2,0.8772,success,5,42,0,,1.0,8.4,success,5,6,0.6,1.2,3,2,Geography and ecology; Transportation,0,,0,success,1.0,Geography and ecology; History; National Wildlife Refuge; Transportation; Military,,
2026-05-10T19:28:37,D:\Users\cheng\Documents\GitHub\LLM_MA_Agent_Project\00_evaluation\result\output\agent2 model qwen3.6 plus\result_method3_Jethou_20260508_060022.json,agent2 model qwen3.6 plus,method3_ablation,D:\Users\cheng\Documents\GitHub\LLM_MA_Agent_Project\00_evaluation\result\output\agent2 model qwen3.6 plus,D:\Users\cheng\Documents\GitHub\LLM_MA_Agent_Project\00_evaluation\result\output\agent2 model qwen3.6 plus,D:\Users\cheng\Documents\GitHub\LLM_MA_Agent_Project\00_evaluation\result\output\agent2 model qwen3.6 plus\agent2,D:\Users\cheng\Documents\GitHub\LLM_MA_Agent_Project\00_evaluation\evaluations\agent2_model_qwen3.6_plus\full_evaluation_agent2_model_qwen3.6_plus_20260510_182222.csv,,D:\Users\cheng\Documents\GitHub\LLM_MA_Agent_Project\00_evaluation\references\Jethou.txt,D:\Users\cheng\Documents\GitHub\LLM_MA_Agent_Project\00_evaluation\result\data\Jethou_rag_context.json,D:\Users\cheng\Documents\GitHub\LLM_MA_Agent_Project\00_evaluation\result\output\agent2 model qwen3.6 plus\agent2\Jethou_plan.json,Jethou,method3,true,true,used_by_generation,used_by_generation,success,4.0,3.0,4.0,3.67,"The prose is clear and mostly natural with a logical flow, but the article lacks a lead and some basic Wikipedia-style sections, making the structure somewhat incomplete.",,success,17.1149,27.7792,,success,3.0,3.0,4.0,3.0,3.25,,,,,success,0.25,0.25,0.04,1.0,4,4,25,1,,success,0.5993,4,4,4,,,4,0,0,4,25,23,2,2,0.92,success,4,20,0,,1.0,5.0,success,4,4,0.6667,1.0,2,1,History,0,,0,success,1.0,History; Governance; Wildlife; Jethou in popular culture,,
2026-05-10T19:29:40,D:\Users\cheng\Documents\GitHub\LLM_MA_Agent_Project\00_evaluation\result\output\agent2 model qwen3.6 plus\result_method3_Kavachi_20260508_060501.json,agent2 model qwen3.6 plus,method3_ablation,D:\Users\cheng\Documents\GitHub\LLM_MA_Agent_Project\00_evaluation\result\output\agent2 model qwen3.6 plus,D:\Users\cheng\Documents\GitHub\LLM_MA_Agent_Project\00_evaluation\result\output\agent2 model qwen3.6 plus,D:\Users\cheng\Documents\GitHub\LLM_MA_Agent_Project\00_evaluation\result\output\agent2 model qwen3.6 plus\agent2,D:\Users\cheng\Documents\GitHub\LLM_MA_Agent_Project\00_evaluation\evaluations\agent2_model_qwen3.6_plus\full_evaluation_agent2_model_qwen3.6_plus_20260510_182222.csv,,D:\Users\cheng\Documents\GitHub\LLM_MA_Agent_Project\00_evaluation\references\Kavachi.txt,D:\Users\cheng\Documents\GitHub\LLM_MA_Agent_Project\00_evaluation\result\data\Kavachi_rag_context.json,D:\Users\cheng\Documents\GitHub\LLM_MA_Agent_Project\00_evaluation\result\output\agent2 model qwen3.6 plus\agent2\Kavachi_plan.json,Kavachi,method3,true,true,used_by_generation,used_by_generation,success,4.0,3.0,4.0,3.67,"The prose is mostly clear and natural with an appropriate topical flow, but the article lacks a lead section and ends with an incomplete sentence.",,success,17.3499,38.7979,,success,4.0,4.0,5.0,4.0,4.25,,,,,success,0.3333,0.3333,0.075,1.0,3,3,40,3,,success,0.5393,3,3,3,,,3,0,0,3,40,32,8,2,0.8,success,3,24,0,,1.0,8.0,success,3,3,1.0,1.0,2,1,Geography,0,,0,success,1.0,Geography; Eruptions; Marine life,,
2026-05-10T19:31:03,D:\Users\cheng\Documents\GitHub\LLM_MA_Agent_Project\00_evaluation\result\output\agent2 model qwen3.6 plus\result_method3_Nishinoshima_(Ogasawara)_20260508_060947.json,agent2 model qwen3.6 plus,method3_ablation,D:\Users\cheng\Documents\GitHub\LLM_MA_Agent_Project\00_evaluation\result\output\agent2 model qwen3.6 plus,D:\Users\cheng\Documents\GitHub\LLM_MA_Agent_Project\00_evaluation\result\output\agent2 model qwen3.6 plus,D:\Users\cheng\Documents\GitHub\LLM_MA_Agent_Project\00_evaluation\result\output\agent2 model qwen3.6 plus\agent2,D:\Users\cheng\Documents\GitHub\LLM_MA_Agent_Project\00_evaluation\evaluations\agent2_model_qwen3.6_plus\full_evaluation_agent2_model_qwen3.6_plus_20260510_182222.csv,,D:\Users\cheng\Documents\GitHub\LLM_MA_Agent_Project\00_evaluation\references\Nishinoshima_(Ogasawara).txt,D:\Users\cheng\Documents\GitHub\LLM_MA_Agent_Project\00_evaluation\result\data\Nishinoshima_(Ogasawara)_rag_context.json,D:\Users\cheng\Documents\GitHub\LLM_MA_Agent_Project\00_evaluation\result\output\agent2 model qwen3.6 plus\agent2\Nishinoshima (Ogasawara)_plan.json,Nishinoshima (Ogasawara),method3,true,true,used_by_generation,used_by_generation,success,4.0,3.0,4.0,3.67,"The prose is clear and natural though somewhat technical, while the section structure is acceptable but lacks a lead and separates topics unevenly, with generally logical flow and limited repetition.",,success,10.7309,10.1391,,success,3.0,4.0,4.0,4.0,3.75,,,,,success,0.0,0.0,0.0,1.0,3,3,31,0,,success,0.4235,3,3,3,,,3,0,0,3,31,20,11,3,0.6452,success,3,18,0,,1.0,6.0,success,3,3,1.0,1.0,2,1,Etymology,0,,0,success,1.0,Etymology; Geology; Ecology,,
2026-05-10T19:32:20,D:\Users\cheng\Documents\GitHub\LLM_MA_Agent_Project\00_evaluation\result\output\agent2 model qwen3.6 plus\result_method3_Surtsey_20260508_062808.json,agent2 model qwen3.6 plus,method3_ablation,D:\Users\cheng\Documents\GitHub\LLM_MA_Agent_Project\00_evaluation\result\output\agent2 model qwen3.6 plus,D:\Users\cheng\Documents\GitHub\LLM_MA_Agent_Project\00_evaluation\result\output\agent2 model qwen3.6 plus,D:\Users\cheng\Documents\GitHub\LLM_MA_Agent_Project\00_evaluation\result\output\agent2 model qwen3.6 plus\agent2,D:\Users\cheng\Documents\GitHub\LLM_MA_Agent_Project\00_evaluation\evaluations\agent2_model_qwen3.6_plus\full_evaluation_agent2_model_qwen3.6_plus_20260510_182222.csv,,D:\Users\cheng\Documents\GitHub\LLM_MA_Agent_Project\00_evaluation\references\Surtsey.txt,D:\Users\cheng\Documents\GitHub\LLM_MA_Agent_Project\00_evaluation\result\data\Surtsey_rag_context.json,D:\Users\cheng\Documents\GitHub\LLM_MA_Agent_Project\00_evaluation\result\output\agent2 model qwen3.6 plus\agent2\Surtsey_plan.json,Surtsey,method3,true,true,used_by_generation,used_by_generation,success,4.0,3.0,3.0,3.33,"The prose is clear and mostly natural, but the article lacks a lead, uses an uneven section outline, and has some repetition and overlap between recent research, geology, and biology.",,success,11.9303,14.3729,,success,4.0,4.0,5.0,4.0,4.25,,,,,success,0.5,0.5,0.1837,1.0,4,4,49,9,,success,0.5039,6,6,6,,,4,0,0,4,49,43,6,2,0.8776,success,4,22,0,,1.0,5.5,success,4,6,1.0,1.5,3,1,Geology,0,,0,success,1.0,Geology; Recent development; Biology; Human impact,,
2026-05-10T19:34:32,D:\Users\cheng\Documents\GitHub\LLM_MA_Agent_Project\00_evaluation\result\output\agent2 model qwen3.6 plus\result_method3_Tromelin_Island_20260508_063752.json,agent2 model qwen3.6 plus,method3_ablation,D:\Users\cheng\Documents\GitHub\LLM_MA_Agent_Project\00_evaluation\result\output\agent2 model qwen3.6 plus,D:\Users\cheng\Documents\GitHub\LLM_MA_Agent_Project\00_evaluation\result\output\agent2 model qwen3.6 plus,D:\Users\cheng\Documents\GitHub\LLM_MA_Agent_Project\00_evaluation\result\output\agent2 model qwen3.6 plus\agent2,D:\Users\cheng\Documents\GitHub\LLM_MA_Agent_Project\00_evaluation\evaluations\agent2_model_qwen3.6_plus\full_evaluation_agent2_model_qwen3.6_plus_20260510_182222.csv,,D:\Users\cheng\Documents\GitHub\LLM_MA_Agent_Project\00_evaluation\references\Tromelin.txt,D:\Users\cheng\Documents\GitHub\LLM_MA_Agent_Project\00_evaluation\result\data\Tromelin_Island_rag_context.json,D:\Users\cheng\Documents\GitHub\LLM_MA_Agent_Project\00_evaluation\result\output\agent2 model qwen3.6 plus\agent2\Tromelin Island_plan.json,Tromelin Island,method3,true,true,used_by_generation,used_by_generation,success,4.0,3.0,3.0,3.33,"The prose is clear and mostly natural, but the article lacks a lead section, has an uneven outline, and repeats ecological material across sections.",,success,17.0843,17.2752,,success,4.0,4.0,5.0,4.0,4.25,,,,,success,0.2,0.2,0.0577,1.0,5,5,52,3,,success,0.481,7,7,7,,,5,0,0,5,52,50,2,2,0.9615,success,5,33,0,,1.0,6.6,success,5,7,0.7,1.4,3,1,Etymology,0,,0,success,1.0,Etymology; Description; Fauna and flora; History; Climate,,
