threshold_setting,comparison_label,variant_name,variant_type,method,island_name,error_family,error_class,error_subclass,total_error_instances,affected_outputs,total_outputs_in_group,percentage_of_outputs,high_severity_affected_outputs,high_severity_percentage_of_outputs,medium_severity_affected_outputs,medium_severity_percentage_of_outputs,low_severity_affected_outputs,low_severity_percentage_of_outputs,high_severity_count,medium_severity_count,low_severity_count
main,,,,,,Citation and verifiability,Citation support failure,Low citation link precision,97,97,140,0.692857,73,0.521429,24,0.171429,0,0.000000,73,24,0
main,,,,,,Citation and verifiability,Citation support failure,Low citation precision,82,82,140,0.585714,54,0.385714,28,0.200000,0,0.000000,54,28,0
main,,,,,,Citation and verifiability,Citation coverage failure,Low citation recall,77,77,140,0.550000,57,0.407143,20,0.142857,0,0.000000,57,20,0
main,,,,,,Content quality,Content substitution,Low concept accuracy,77,77,140,0.550000,6,0.042857,71,0.507143,0,0.000000,6,71,0
main,,,,,,Planning and graph,Graph coherence failure,Low CSCS,44,44,140,0.314286,12,0.085714,32,0.228571,0,0.000000,12,32,0
main,,,,,,Citation and verifiability,Citation coverage failure,Low citation rate,39,39,140,0.278571,14,0.100000,25,0.178571,0,0.000000,14,25,0
main,,,,,,Content quality,Content omission,Low METEOR,35,35,140,0.250000,14,0.100000,21,0.150000,0,0.000000,14,21,0
main,,,,,,Content quality,Content omission,Low ROUGE-L,35,35,140,0.250000,14,0.100000,21,0.150000,0,0.000000,14,21,0
main,,,,,,Content quality,Content omission,Low concept coverage,4,4,140,0.028571,4,0.028571,0,0.000000,0,0.000000,4,0,0
main,,,,,,Content quality,Content quality error,Low overall concept quality,2,2,140,0.014286,0,0.000000,2,0.014286,0,0.000000,0,2,0
main,,,,,,Writing quality,Writing error,Low overall writing quality,2,2,140,0.014286,1,0.007143,1,0.007143,0,0.000000,1,1,0
main,,,,,,Writing quality,Writing error,Poor organization,2,2,140,0.014286,2,0.014286,0,0.000000,0,0.000000,2,0,0
main,,,,,,Content quality,Content organization error,Poor concept organization,1,1,140,0.007143,1,0.007143,0,0.000000,0,0.000000,1,0,0
main,,,,,,Writing quality,Writing error,Poor article structure,1,1,140,0.007143,1,0.007143,0,0.000000,0,0.000000,1,0,0
