timestamp,source_file,input_json,reference_file,context_file,plan_file,island_name,method,uses_retrieval_context,uses_agent2_plan,context_artifact_role,agent2_plan_artifact_role,writing_status,fluency_score,structure_score,organization_score,writing_score,writing_rationale,writing_error,informativeness_status,rouge_l,meteor,informativeness_error,concept_status,concept_coverage_score,concept_accuracy_score,concept_relevance_score,concept_organization_score,concept_score,missing_key_concepts,inaccurate_or_unsupported_concepts,concept_rationale,concept_error,verifiability_status,citation_recall,citation_precision,citation_rate,num_sentences,num_cited_sentences,num_citation_links,num_supported_citation_links,verifiability_error,cscs_status,cscs,cscs_edges,cscs_checked_facts,cscs_error,diagnostics_error,generated_section_count,generated_empty_section_count,generated_error_section_count,generated_sentence_count,citation_marker_count,valid_citation_marker_count,invalid_citation_marker_count,sections_with_invalid_citations,citation_index_validity,context_status,context_section_count,context_total_chunks,context_empty_chunk_section_count,context_empty_chunk_sections,context_chunk_coverage,context_avg_chunks_per_section,plan_status,plan_node_count,plan_edge_count,plan_graph_density,plan_avg_dependencies,plan_max_dependencies,plan_source_node_count,plan_source_nodes,plan_missing_summary_count,plan_missing_summaries,plan_order_violation_count,plan_output_alignment_status,planned_section_coverage,matched_planned_sections,missing_planned_sections,extra_generated_sections,eval_file
2026-05-05T00:14:34,D:\Users\cheng\Documents\GitHub\LLM_MA_Agent_Project\data\outputs\result_all_Brecqhou_20260504_152209.json,,D:\Users\cheng\Documents\GitHub\LLM_MA_Agent_Project\00_evaluation\references\Brecqhou.txt,D:\Users\cheng\Documents\GitHub\LLM_MA_Agent_Project\data\Brecqhou_rag_context.json,D:\Users\cheng\Documents\GitHub\LLM_MA_Agent_Project\logs\agent2_plans\Brecqhou_plan.json,Brecqhou,method0,False,False,available_but_not_used_by_generation,available_for_alignment_only,success,4.0,4.0,4.0,4.0,"The prose is clear and mostly natural with appropriate sections and logical flow, though it lacks a lead and contains some generic or mildly repetitive phrasing.",,success,16.2274,20.8503,,success,2.0,3.0,4.0,3.0,3.0,,,,,success,0.0,0.0,0.0,46,0,0,0,,not_applicable,,,,CSCS is only applicable to method3 because only method3 uses the Agent 2 dependency graph during generation.,,8,0,0,46,0,0,0,0,,success,7,42,0,,1.0,6.0,success,7,3,0.1429,0.4286,2,5,Name; Geography; Flag and stamps; Public visits; Notes and references,0,,0,success,0.1429,Geography,Name; Feudal relationship with Sark; Fort Brecqhou; Flag and stamps; Public visits; Notes and references,Geology; Ecology; Climate; History; Settlement and land use; Transport and access; Administration,Brecqhou_eval.csv
2026-05-05T00:14:59,D:\Users\cheng\Documents\GitHub\LLM_MA_Agent_Project\data\outputs\result_all_Brecqhou_20260504_152209.json,,D:\Users\cheng\Documents\GitHub\LLM_MA_Agent_Project\00_evaluation\references\Brecqhou.txt,D:\Users\cheng\Documents\GitHub\LLM_MA_Agent_Project\data\Brecqhou_rag_context.json,D:\Users\cheng\Documents\GitHub\LLM_MA_Agent_Project\logs\agent2_plans\Brecqhou_plan.json,Brecqhou,method1,True,False,used_by_generation,available_for_alignment_only,success,4.0,3.0,4.0,3.67,"The prose is clear and mostly natural, with a sensible thematic flow, but the article lacks a lead section and has somewhat uneven, overlapping headings.",,success,16.415,17.0407,,success,3.0,3.0,5.0,4.0,3.75,,,,,success,0.3333,0.1515,1.0,6,6,33,5,,not_applicable,,,,CSCS is only applicable to method3 because only method3 uses the Agent 2 dependency graph during generation.,,6,0,0,6,33,13,20,6,0.3939,success,7,42,0,,1.0,6.0,success,7,3,0.1429,0.4286,2,5,Name; Geography; Flag and stamps; Public visits; Notes and references,0,,0,success,0.1429,Geography,Name; Feudal relationship with Sark; Fort Brecqhou; Flag and stamps; Public visits; Notes and references,Political status and jurisdiction; Historical tenure and ownership; Contested identity and separation from Sark; Symbols and self-representation; Later development,Brecqhou_eval.csv
2026-05-05T00:15:19,D:\Users\cheng\Documents\GitHub\LLM_MA_Agent_Project\data\outputs\result_all_Brecqhou_20260504_152209.json,,D:\Users\cheng\Documents\GitHub\LLM_MA_Agent_Project\00_evaluation\references\Brecqhou.txt,D:\Users\cheng\Documents\GitHub\LLM_MA_Agent_Project\data\Brecqhou_rag_context.json,D:\Users\cheng\Documents\GitHub\LLM_MA_Agent_Project\logs\agent2_plans\Brecqhou_plan.json,Brecqhou,method2,True,False,used_by_generation,available_for_alignment_only,success,4.0,3.0,3.0,3.33,"The prose is mostly clear and readable, but the article lacks a proper lead, has an inappropriate Notes and references section filled with repeated content, and the organization is somewhat uneven across sections.",,success,17.3375,26.0621,,success,3.0,3.0,4.0,3.0,3.25,,,,,success,0.0833,0.0196,0.9167,12,11,51,1,,not_applicable,,,,CSCS is only applicable to method3 because only method3 uses the Agent 2 dependency graph during generation.,,7,0,0,12,51,45,6,5,0.8824,success,7,42,0,,1.0,6.0,success,7,3,0.1429,0.4286,2,5,Name; Geography; Flag and stamps; Public visits; Notes and references,0,,0,success,1.0,Name; Geography; Feudal relationship with Sark; Fort Brecqhou; Flag and stamps; Public visits; Notes and references,,,Brecqhou_eval.csv
2026-05-05T00:16:09,D:\Users\cheng\Documents\GitHub\LLM_MA_Agent_Project\data\outputs\result_all_Brecqhou_20260504_152209.json,,D:\Users\cheng\Documents\GitHub\LLM_MA_Agent_Project\00_evaluation\references\Brecqhou.txt,D:\Users\cheng\Documents\GitHub\LLM_MA_Agent_Project\data\Brecqhou_rag_context.json,D:\Users\cheng\Documents\GitHub\LLM_MA_Agent_Project\logs\agent2_plans\Brecqhou_plan.json,Brecqhou,method3,True,True,used_by_generation,used_by_generation,success,4.0,3.0,3.0,3.33,"The prose is generally clear and readable, but the article lacks a proper lead, misuses the notes/references section for repeated content, and has some uneven flow and redundancy.",,success,17.2414,27.7449,,success,3.0,2.0,4.0,3.0,3.0,,,,,success,0.375,0.0545,0.875,8,7,55,3,,success,0.5823,3.0,3.0,,,7,0,0,8,55,51,4,2,0.9273,success,7,42,0,,1.0,6.0,success,7,3,0.1429,0.4286,2,5,Name; Geography; Flag and stamps; Public visits; Notes and references,0,,0,success,1.0,Name; Geography; Feudal relationship with Sark; Fort Brecqhou; Flag and stamps; Public visits; Notes and references,,,Brecqhou_eval.csv
2026-05-05T00:22:51,D:\Users\cheng\Documents\GitHub\LLM_MA_Agent_Project\data\outputs\result_all_Hashima_20260504_151320.json,,D:\Users\cheng\Documents\GitHub\LLM_MA_Agent_Project\00_evaluation\references\Hashima.txt,D:\Users\cheng\Documents\GitHub\LLM_MA_Agent_Project\data\Hashima_Island_rag_context.json,D:\Users\cheng\Documents\GitHub\LLM_MA_Agent_Project\logs\agent2_plans\Hashima Island_plan.json,Hashima Island,method0,False,False,available_but_not_used_by_generation,available_for_alignment_only,success,5.0,4.0,4.0,4.33,"The prose is clear and natural, with appropriate thematic sections, though the article lacks a true lead and the structure is somewhat limited beyond environmental and historical coverage.",,success,12.8405,12.4527,,success,3.0,4.0,4.0,3.0,3.5,,,,,success,0.0,0.0,0.0,41,0,0,0,,not_applicable,,,,CSCS is only applicable to method3 because only method3 uses the Agent 2 dependency graph during generation.,,5,0,0,41,0,0,0,0,,success,6,41,0,,1.0,6.8333,success,6,10,0.6667,1.6667,4,2,Etymology; Access,0,,0,success,0.3333,Etymology; History,Current status; Access; World Heritage Site approval controversy; In popular culture,Geography; Climate,Hashima_eval.csv
2026-05-05T00:23:14,D:\Users\cheng\Documents\GitHub\LLM_MA_Agent_Project\data\outputs\result_all_Hashima_20260504_151320.json,,D:\Users\cheng\Documents\GitHub\LLM_MA_Agent_Project\00_evaluation\references\Hashima.txt,D:\Users\cheng\Documents\GitHub\LLM_MA_Agent_Project\data\Hashima_Island_rag_context.json,D:\Users\cheng\Documents\GitHub\LLM_MA_Agent_Project\logs\agent2_plans\Hashima Island_plan.json,Hashima Island,method1,True,False,used_by_generation,available_for_alignment_only,success,4.0,4.0,4.0,4.0,"The prose is clear and natural with appropriate headings and logical flow, though the lack of a lead section and some overlap between heritage and conservation sections keep it from being fully polished.",,success,10.8222,8.4424,,success,3.0,4.0,5.0,4.0,4.0,,,,,success,0.1667,0.0789,1.0,6,6,38,3,,not_applicable,,,,CSCS is only applicable to method3 because only method3 uses the Agent 2 dependency graph during generation.,,6,0,0,6,38,24,14,4,0.6316,success,6,41,0,,1.0,6.8333,success,6,10,0.6667,1.6667,4,2,Etymology; Access,0,,0,success,0.3333,History; World Heritage Site approval controversy,Etymology; Current status; Access; In popular culture,Description; Conservation and restoration; Tourism; Historical interpretation,Hashima_eval.csv
2026-05-05T00:23:42,D:\Users\cheng\Documents\GitHub\LLM_MA_Agent_Project\data\outputs\result_all_Hashima_20260504_151320.json,,D:\Users\cheng\Documents\GitHub\LLM_MA_Agent_Project\00_evaluation\references\Hashima.txt,D:\Users\cheng\Documents\GitHub\LLM_MA_Agent_Project\data\Hashima_Island_rag_context.json,D:\Users\cheng\Documents\GitHub\LLM_MA_Agent_Project\logs\agent2_plans\Hashima Island_plan.json,Hashima Island,method2,True,False,used_by_generation,available_for_alignment_only,success,4.0,4.0,4.0,4.0,"The prose is mostly clear and natural with appropriate sections and a logical flow, though it lacks a lead and has some repetition around the UNESCO and forced-labor controversy.",,success,15.9007,15.8381,,success,4.0,4.0,5.0,4.0,4.25,,,,,success,0.0,0.0,1.0,6,6,54,0,,not_applicable,,,,CSCS is only applicable to method3 because only method3 uses the Agent 2 dependency graph during generation.,,6,0,0,6,54,51,3,2,0.9444,success,6,41,0,,1.0,6.8333,success,6,10,0.6667,1.6667,4,2,Etymology; Access,0,,0,success,1.0,Etymology; History; Current status; Access; World Heritage Site approval controversy; In popular culture,,,Hashima_eval.csv
2026-05-05T00:24:21,D:\Users\cheng\Documents\GitHub\LLM_MA_Agent_Project\data\outputs\result_all_Hashima_20260504_151320.json,,D:\Users\cheng\Documents\GitHub\LLM_MA_Agent_Project\00_evaluation\references\Hashima.txt,D:\Users\cheng\Documents\GitHub\LLM_MA_Agent_Project\data\Hashima_Island_rag_context.json,D:\Users\cheng\Documents\GitHub\LLM_MA_Agent_Project\logs\agent2_plans\Hashima Island_plan.json,Hashima Island,method3,True,True,used_by_generation,used_by_generation,success,4.0,3.0,3.0,3.33,"The prose is mostly clear and readable, but the article lacks a lead section, has some overlapping sections, and repeats controversy-related material across multiple areas.",,success,16.5281,16.4458,,success,4.0,3.0,4.0,4.0,3.75,,,,,success,0.0,0.0,0.8889,9,8,46,0,,success,0.5588,10.0,18.0,,,6,0,0,9,46,43,3,2,0.9348,success,6,41,0,,1.0,6.8333,success,6,10,0.6667,1.6667,4,2,Etymology; Access,0,,0,success,1.0,Etymology; History; Current status; Access; World Heritage Site approval controversy; In popular culture,,,Hashima_eval.csv
2026-05-05T00:26:43,D:\Users\cheng\Documents\GitHub\LLM_MA_Agent_Project\data\outputs\result_all_Howland_20260504_151926.json,,D:\Users\cheng\Documents\GitHub\LLM_MA_Agent_Project\00_evaluation\references\Howland.txt,D:\Users\cheng\Documents\GitHub\LLM_MA_Agent_Project\data\Howland_Island_rag_context.json,D:\Users\cheng\Documents\GitHub\LLM_MA_Agent_Project\logs\agent2_plans\Howland Island_plan.json,Howland Island,method0,False,False,available_but_not_used_by_generation,available_for_alignment_only,success,3.0,4.0,3.0,3.33,"The article is generally readable with appropriate sections, but it lacks a lead, includes an unpolished self-correction in the history section, and has some repetition and uneven placement of information.",,success,14.604,13.8742,,success,3.0,3.0,4.0,4.0,3.5,,,,,success,0.0,0.0,0.0,47,0,0,0,,not_applicable,,,,CSCS is only applicable to method3 because only method3 uses the Agent 2 dependency graph during generation.,,6,0,0,47,0,0,0,0,,success,7,24,3,Flora and fauna; History; Earhart Light,0.5714,3.4286,success,7,6,0.2857,0.8571,3,4,Flora and fauna; Economics; History; Image gallery,3,Flora and fauna; History; Earhart Light,0,success,0.1429,History,Flora and fauna; Economics; Time zone; National Wildlife Refuge; Earhart Light; Image gallery,Geography; Geology; Climate; Ecology; Administration and status,Howland_eval.csv
2026-05-05T00:27:02,D:\Users\cheng\Documents\GitHub\LLM_MA_Agent_Project\data\outputs\result_all_Howland_20260504_151926.json,,D:\Users\cheng\Documents\GitHub\LLM_MA_Agent_Project\00_evaluation\references\Howland.txt,D:\Users\cheng\Documents\GitHub\LLM_MA_Agent_Project\data\Howland_Island_rag_context.json,D:\Users\cheng\Documents\GitHub\LLM_MA_Agent_Project\logs\agent2_plans\Howland Island_plan.json,Howland Island,method1,True,False,used_by_generation,available_for_alignment_only,success,4.0,3.0,4.0,3.67,"The prose is clear and readable with appropriate topical sections, but the article lacks a lead and has a somewhat basic structure.",,success,9.1415,5.5532,,success,3.0,3.0,5.0,4.0,3.75,,,,,success,0.0,0.0,0.75,8,6,24,0,,not_applicable,,,,CSCS is only applicable to method3 because only method3 uses the Agent 2 dependency graph during generation.,,5,0,0,8,24,3,21,5,0.125,success,7,24,3,Flora and fauna; History; Earhart Light,0.5714,3.4286,success,7,6,0.2857,0.8571,3,4,Flora and fauna; Economics; History; Image gallery,3,Flora and fauna; History; Earhart Light,0,success,0.1429,History,Flora and fauna; Economics; Time zone; National Wildlife Refuge; Earhart Light; Image gallery,Geography; Administration; Wildlife and conservation; Amelia Earhart connection,Howland_eval.csv
