threshold_setting,comparison_label,variant_name,variant_type,method,island_name,error_family,error_class,error_subclass,total_error_instances,affected_outputs,total_outputs_in_group,percentage_of_outputs,high_severity_affected_outputs,high_severity_percentage_of_outputs,medium_severity_affected_outputs,medium_severity_percentage_of_outputs,low_severity_affected_outputs,low_severity_percentage_of_outputs,high_severity_count,medium_severity_count,low_severity_count
lenient,,,,method0,,Citation and verifiability,Citation coverage failure,,20,10,10,1.000000,10,1.000000,0,0.000000,0,0.000000,20,0,0
lenient,,,,method0,,Citation and verifiability,Citation support failure,,20,10,10,1.000000,10,1.000000,0,0.000000,0,0.000000,20,0,0
lenient,,,,method0,,Content quality,Content omission,,1,1,10,0.100000,1,0.100000,0,0.000000,0,0.000000,1,0,0
lenient,,,,method0,,Content quality,Content substitution,,1,1,10,0.100000,1,0.100000,0,0.000000,0,0.000000,1,0,0
lenient,,,,method1,,Citation and verifiability,Citation coverage failure,,4,4,10,0.400000,2,0.200000,2,0.200000,0,0.000000,2,2,0
lenient,,,,method1,,Citation and verifiability,Citation support failure,,9,6,10,0.600000,3,0.300000,3,0.300000,0,0.000000,5,4,0
lenient,,,,method1,,Content quality,Content omission,,12,6,10,0.600000,3,0.300000,4,0.400000,0,0.000000,5,7,0
lenient,,,,method1,,Content quality,Content substitution,,8,8,10,0.800000,0,0.000000,8,0.800000,0,0.000000,0,8,0
lenient,,,,method2,,Citation and verifiability,Citation coverage failure,,5,4,10,0.400000,3,0.300000,2,0.200000,0,0.000000,3,2,0
lenient,,,,method2,,Citation and verifiability,Citation support failure,,9,6,10,0.600000,3,0.300000,3,0.300000,0,0.000000,6,3,0
lenient,,,,method2,,Content quality,Content omission,,4,3,10,0.300000,1,0.100000,2,0.200000,0,0.000000,1,3,0
lenient,,,,method2,,Content quality,Content quality error,,1,1,10,0.100000,0,0.000000,1,0.100000,0,0.000000,0,1,0
lenient,,,,method2,,Content quality,Content substitution,,7,7,10,0.700000,1,0.100000,6,0.600000,0,0.000000,1,6,0
lenient,,,,method3,,Citation and verifiability,Citation coverage failure,,65,56,110,0.509091,35,0.318182,26,0.236364,0,0.000000,35,30,0
lenient,,,,method3,,Citation and verifiability,Citation support failure,,111,69,110,0.627273,39,0.354545,30,0.272727,0,0.000000,72,39,0
lenient,,,,method3,,Content quality,Content omission,,43,25,110,0.227273,7,0.063636,20,0.181818,0,0.000000,11,32,0
lenient,,,,method3,,Content quality,Content organization error,,1,1,110,0.009091,1,0.009091,0,0.000000,0,0.000000,1,0,0
lenient,,,,method3,,Content quality,Content quality error,,1,1,110,0.009091,0,0.000000,1,0.009091,0,0.000000,0,1,0
lenient,,,,method3,,Content quality,Content substitution,,61,61,110,0.554545,4,0.036364,57,0.518182,0,0.000000,4,57,0
lenient,,,,method3,,Planning and graph,Graph coherence failure,,25,25,110,0.227273,6,0.054545,19,0.172727,0,0.000000,6,19,0
lenient,,,,method3,,Writing quality,Writing error,,5,2,110,0.018182,2,0.018182,1,0.009091,0,0.000000,4,1,0
main,,,,method0,,Citation and verifiability,Citation coverage failure,,20,10,10,1.000000,10,1.000000,0,0.000000,0,0.000000,20,0,0
main,,,,method0,,Citation and verifiability,Citation support failure,,20,10,10,1.000000,10,1.000000,0,0.000000,0,0.000000,20,0,0
main,,,,method0,,Content quality,Content omission,,2,2,10,0.200000,1,0.100000,1,0.100000,0,0.000000,1,1,0
main,,,,method0,,Content quality,Content substitution,,1,1,10,0.100000,1,0.100000,0,0.000000,0,0.000000,1,0,0
main,,,,method1,,Citation and verifiability,Citation coverage failure,,7,6,10,0.600000,2,0.200000,4,0.400000,0,0.000000,2,5,0
main,,,,method1,,Citation and verifiability,Citation support failure,,12,7,10,0.700000,3,0.300000,5,0.500000,0,0.000000,5,7,0
main,,,,method1,,Content quality,Content omission,,13,7,10,0.700000,4,0.400000,4,0.400000,0,0.000000,7,6,0
