comparison_label,variant_name,variant_type,num_rows,num_islands,fluency_score_n,fluency_score_mean,fluency_score_std,fluency_score_min,fluency_score_max,structure_score_n,structure_score_mean,structure_score_std,structure_score_min,structure_score_max,organization_score_n,organization_score_mean,organization_score_std,organization_score_min,organization_score_max,writing_score_n,writing_score_mean,writing_score_std,writing_score_min,writing_score_max,rouge_l_n,rouge_l_mean,rouge_l_std,rouge_l_min,rouge_l_max,meteor_n,meteor_mean,meteor_std,meteor_min,meteor_max,concept_coverage_score_n,concept_coverage_score_mean,concept_coverage_score_std,concept_coverage_score_min,concept_coverage_score_max,concept_accuracy_score_n,concept_accuracy_score_mean,concept_accuracy_score_std,concept_accuracy_score_min,concept_accuracy_score_max,concept_relevance_score_n,concept_relevance_score_mean,concept_relevance_score_std,concept_relevance_score_min,concept_relevance_score_max,concept_organization_score_n,concept_organization_score_mean,concept_organization_score_std,concept_organization_score_min,concept_organization_score_max,concept_score_n,concept_score_mean,concept_score_std,concept_score_min,concept_score_max,citation_recall_n,citation_recall_mean,citation_recall_std,citation_recall_min,citation_recall_max,citation_precision_n,citation_precision_mean,citation_precision_std,citation_precision_min,citation_precision_max,citation_link_precision_n,citation_link_precision_mean,citation_link_precision_std,citation_link_precision_min,citation_link_precision_max,citation_rate_n,citation_rate_mean,citation_rate_std,citation_rate_min,citation_rate_max,cscs_n,cscs_mean,cscs_std,cscs_min,cscs_max
default_method3,default,default_all_methods,10,10,10,3.9,0.3162,3.0,4.0,10,3.4,0.5164,3.0,4.0,10,3.5,0.527,3.0,4.0,10,3.6,0.3454,3.0,4.0,10,15.6986,2.5423,11.3966,19.4247,10,22.6172,9.2699,9.6098,38.8278,10,3.3,0.483,3.0,4.0,10,3.6,0.5164,3.0,4.0,10,4.4,0.5164,4.0,5.0,10,3.5,0.527,3.0,4.0,10,3.7,0.4534,3.25,4.25,10,0.2021,0.192,0.0,0.6,10,0.2034,0.1913,0.0,0.6,10,0.0612,0.0682,0.0,0.1923,10,0.9746,0.0541,0.8571,1.0,10,0.5073,0.0757,0.3829,0.6173
agent2 model deepseek v3.2,agent2 model deepseek v3.2,method3_ablation,10,10,10,4.1,0.3162,4.0,5.0,10,3.3,0.483,3.0,4.0,10,3.5,0.527,3.0,4.0,10,3.633,0.3322,3.33,4.33,10,15.8447,2.8777,11.3022,20.166,10,22.2636,8.4544,10.595,38.0472,10,3.1,0.5676,2.0,4.0,10,3.3,0.8233,2.0,4.0,10,4.4,0.5164,4.0,5.0,10,3.7,0.483,3.0,4.0,10,3.625,0.4449,2.75,4.25,10,0.1301,0.1077,0.0,0.25,10,0.1358,0.1083,0.0,0.25,10,0.057,0.0567,0.0,0.1875,10,0.9574,0.0768,0.8,1.0,10,0.5131,0.0562,0.4198,0.5923
agent2 model gemini 3 flash preview,agent2 model gemini 3 flash preview,method3_ablation,10,10,10,3.9,0.3162,3.0,4.0,10,3.2,0.4216,3.0,4.0,10,3.6,0.5164,3.0,4.0,10,3.567,0.3175,3.0,4.0,10,15.7839,2.8467,10.6984,20.5936,10,22.2771,8.8469,9.8577,36.579,10,3.4,0.5164,3.0,4.0,10,3.4,0.6992,2.0,4.0,10,4.3,0.6749,3.0,5.0,10,3.5,0.527,3.0,4.0,10,3.65,0.4595,3.0,4.25,10,0.1772,0.2179,0.0,0.6,10,0.1792,0.2186,0.0,0.6,10,0.0674,0.0837,0.0,0.2063,10,0.9612,0.0693,0.8,1.0,10,0.5042,0.0784,0.3863,0.6413
agent2 model qwen3.6 plus,agent2 model qwen3.6 plus,method3_ablation,10,10,10,4.0,0.0,4.0,4.0,10,3.2,0.4216,3.0,4.0,10,3.5,0.527,3.0,4.0,10,3.566,0.2764,3.33,4.0,10,15.6343,2.6837,10.7309,18.7156,10,22.4771,8.6431,10.1391,38.7979,10,3.5,0.527,3.0,4.0,10,3.5,0.527,3.0,4.0,10,4.5,0.527,4.0,5.0,10,3.7,0.483,3.0,4.0,10,3.8,0.3873,3.25,4.25,10,0.2265,0.1945,0.0,0.5714,10,0.2319,0.1925,0.0,0.5714,10,0.0799,0.0585,0.0,0.1837,10,0.9641,0.0634,0.8333,1.0,10,0.4937,0.0669,0.3693,0.5993
agent3 model claude opus 4.7,agent3 model claude opus 4.7,method3_ablation,10,10,10,3.8,0.4216,3.0,4.0,10,2.9,0.3162,2.0,3.0,10,3.1,0.5676,2.0,4.0,10,3.265,0.3797,2.33,3.67,10,17.182,2.9137,13.7758,21.7143,10,28.0961,6.5702,14.628,35.0789,10,3.4,0.5164,3.0,4.0,10,3.2,0.4216,3.0,4.0,10,4.0,0.4714,3.0,5.0,10,3.4,0.8433,2.0,5.0,10,3.5,0.441,3.0,4.5,10,0.2196,0.1901,0.0,0.625,10,0.2394,0.2037,0.0,0.625,10,0.0879,0.0897,0.0,0.25,10,0.9243,0.0994,0.6923,1.0,10,0.525,0.1122,0.3283,0.7058
agent3 model gemini 3.1 pro preview,agent3 model gemini 3.1 pro preview,method3_ablation,10,10,10,3.8,0.4216,3.0,4.0,10,3.0,0.0,3.0,3.0,10,3.2,0.6325,2.0,4.0,10,3.333,0.3147,2.67,3.67,10,16.3843,3.2327,10.7203,21.5584,10,22.3543,8.3951,9.572,35.9358,10,3.3,0.6749,2.0,4.0,10,3.2,0.4216,3.0,4.0,10,4.1,0.5676,3.0,5.0,10,3.4,0.5164,3.0,4.0,10,3.5,0.4249,3.0,4.25,10,0.1102,0.138,0.0,0.3333,10,0.1117,0.1381,0.0,0.3333,10,0.0496,0.0626,0.0,0.1698,10,0.9695,0.0558,0.8333,1.0,10,0.4778,0.0963,0.2764,0.6023
agent3 model gpt5.4,agent3 model gpt5.4,method3_ablation,10,10,10,4.0,0.0,4.0,4.0,10,3.3,0.483,3.0,4.0,10,3.6,0.5164,3.0,4.0,10,3.633,0.2935,3.33,4.0,10,15.9739,2.0528,12.3437,19.4735,10,23.9922,7.2755,12.2668,35.2917,10,3.2,0.6325,2.0,4.0,10,3.3,0.6749,2.0,4.0,10,4.4,0.5164,4.0,5.0,10,3.7,0.6749,3.0,5.0,10,3.65,0.5297,3.0,4.5,10,0.152,0.1799,0.0,0.5,10,0.1542,0.1793,0.0,0.5,10,0.061,0.1033,0.0,0.3333,10,0.9527,0.0869,0.7826,1.0,10,0.5325,0.0677,0.4426,0.634
rerank_scope global,rerank_scope global,method3_ablation,10,10,10,4.1,0.3162,4.0,5.0,10,3.2,0.4216,3.0,4.0,10,3.5,0.527,3.0,4.0,10,3.599,0.3451,3.33,4.33,10,15.4988,2.6786,10.7052,18.2692,10,20.4043,7.8611,9.0344,32.3278,10,3.2,0.4216,3.0,4.0,10,3.5,0.527,3.0,4.0,10,4.4,0.5164,4.0,5.0,10,3.6,0.5164,3.0,4.0,10,3.675,0.4257,3.25,4.25,10,0.1567,0.1958,0.0,0.5,10,0.1583,0.1952,0.0,0.5,10,0.0692,0.0909,0.0,0.2444,10,0.9652,0.0736,0.8182,1.0,9,0.499,0.0626,0.4248,0.5894
reranker_type cross encoder + mmr,reranker_type cross encoder + mmr,method3_ablation,10,10,10,4.0,0.4714,3.0,5.0,10,3.4,0.5164,3.0,4.0,10,3.5,0.527,3.0,4.0,10,3.632,0.4294,3.0,4.33,10,16.1587,2.7956,11.2863,19.4509,10,22.579,8.4242,9.9859,37.0796,10,3.4,0.5164,3.0,4.0,10,3.5,0.527,3.0,4.0,10,4.5,0.527,4.0,5.0,10,3.5,0.527,3.0,4.0,10,3.725,0.4632,3.25,4.25,10,0.3444,0.1986,0.0,0.75,10,0.362,0.204,0.0,0.75,10,0.1825,0.1345,0.0,0.4,10,0.9591,0.074,0.8,1.0,10,0.5066,0.0943,0.3521,0.658
threshold 0.3,threshold 0.3,method3_ablation,10,10,10,4.0,0.0,4.0,4.0,10,3.1,0.3162,3.0,4.0,10,3.6,0.5164,3.0,4.0,10,3.567,0.2274,3.33,4.0,10,16.0616,2.4707,12.2117,19.1446,10,22.2655,8.2031,10.9912,37.7247,10,3.4,0.5164,3.0,4.0,10,3.5,0.527,3.0,4.0,10,4.3,0.483,4.0,5.0,10,3.6,0.5164,3.0,4.0,10,3.7,0.4048,3.25,4.25,10,0.252,0.219,0.0,0.6667,10,0.2608,0.2168,0.0,0.6667,10,0.0799,0.0795,0.0,0.2373,10,0.9522,0.0798,0.8,1.0,10,0.4964,0.0986,0.3753,0.6625
threshold 0.6,threshold 0.6,method3_ablation,10,10,10,4.1,0.3162,4.0,5.0,10,3.4,0.5164,3.0,4.0,10,3.6,0.5164,3.0,4.0,10,3.699,0.3676,3.33,4.33,10,15.9496,2.721,11.1747,19.8943,10,22.856,8.8544,10.8154,39.5566,10,3.4,0.5164,3.0,4.0,10,3.5,0.527,3.0,4.0,10,4.3,0.483,4.0,5.0,10,3.5,0.527,3.0,4.0,10,3.675,0.4091,3.25,4.25,10,0.1989,0.144,0.0,0.4286,10,0.2113,0.1487,0.0,0.4286,10,0.1163,0.1113,0.0,0.3725,10,0.9436,0.0938,0.7692,1.0,10,0.5246,0.0785,0.3935,0.6409
