timestamp,source_file,variant_name,variant_type,variant_dir,variant_input_dir,variant_plan_dir,variant_output_csv,input_json,reference_file,context_file,plan_file,island_name,method,uses_retrieval_context,uses_agent2_plan,context_artifact_role,agent2_plan_artifact_role,writing_status,fluency_score,structure_score,organization_score,writing_score,writing_rationale,writing_error,informativeness_status,rouge_l,meteor,informativeness_error,concept_status,concept_coverage_score,concept_accuracy_score,concept_relevance_score,concept_organization_score,concept_score,missing_key_concepts,inaccurate_or_unsupported_concepts,concept_rationale,concept_error,verifiability_status,citation_recall,citation_precision,citation_link_precision,citation_rate,num_sentences,num_cited_sentences,num_citation_links,num_supported_citation_links,verifiability_error,cscs_status,cscs,cscs_edges,cscs_checked_edges,cscs_checked_facts,cscs_error,diagnostics_error,generated_section_count,generated_empty_section_count,generated_error_section_count,generated_sentence_count,citation_marker_count,valid_citation_marker_count,invalid_citation_marker_count,sections_with_invalid_citations,citation_index_validity,context_status,context_section_count,context_total_chunks,context_empty_chunk_section_count,context_empty_chunk_sections,context_chunk_coverage,context_avg_chunks_per_section,plan_status,plan_node_count,plan_edge_count,plan_graph_density,plan_avg_dependencies,plan_max_dependencies,plan_source_node_count,plan_source_nodes,plan_missing_summary_count,plan_missing_summaries,plan_order_violation_count,plan_output_alignment_status,planned_section_coverage,matched_planned_sections,missing_planned_sections,extra_generated_sections
2026-05-10T22:34:03,D:\Users\cheng\Documents\GitHub\LLM_MA_Agent_Project\00_evaluation\result\output\reranker_type cross encoder + mmr\result_method3_Brecqhou_20260509_143601.json,reranker_type cross encoder + mmr,method3_ablation,D:\Users\cheng\Documents\GitHub\LLM_MA_Agent_Project\00_evaluation\result\output\reranker_type cross encoder + mmr,D:\Users\cheng\Documents\GitHub\LLM_MA_Agent_Project\00_evaluation\result\output\reranker_type cross encoder + mmr,D:\Users\cheng\Documents\GitHub\LLM_MA_Agent_Project\logs\agent2_plans,D:\Users\cheng\Documents\GitHub\LLM_MA_Agent_Project\00_evaluation\evaluations\reranker_type_cross_encoder_plus_mmr\full_evaluation_reranker_type_cross_encoder_plus_mmr_20260510_182222.csv,,D:\Users\cheng\Documents\GitHub\LLM_MA_Agent_Project\00_evaluation\references\Brecqhou.txt,D:\Users\cheng\Documents\GitHub\LLM_MA_Agent_Project\00_evaluation\result\data\Brecqhou_rag_context.json,D:\Users\cheng\Documents\GitHub\LLM_MA_Agent_Project\logs\agent2_plans\Brecqhou_plan.json,Brecqhou,method3,true,true,used_by_generation,used_by_generation,success,4.0,3.0,3.0,3.33,"The prose is generally clear and readable, but the article lacks a proper lead, has an oddly used Notes and references section containing substantive content, and the flow is somewhat uneven despite mostly coherent sections.",,success,18.0212,31.8668,,success,3.0,3.0,4.0,3.0,3.25,,,,,success,0.375,0.375,0.22,1.0,8,8,50,11,,success,0.474,3,3,3,,,7,0,0,8,50,47,3,3,0.94,success,7,46,0,,1.0,6.5714,success,7,3,0.1429,0.4286,2,5,Name; Geography; Flag and stamps; Public visits; Notes and references,0,,0,success,1.0,Name; Geography; Feudal relationship with Sark; Fort Brecqhou; Flag and stamps; Public visits; Notes and references,,
2026-05-10T22:37:22,D:\Users\cheng\Documents\GitHub\LLM_MA_Agent_Project\00_evaluation\result\output\reranker_type cross encoder + mmr\result_method3_Hashima_Island_20260509_144011.json,reranker_type cross encoder + mmr,method3_ablation,D:\Users\cheng\Documents\GitHub\LLM_MA_Agent_Project\00_evaluation\result\output\reranker_type cross encoder + mmr,D:\Users\cheng\Documents\GitHub\LLM_MA_Agent_Project\00_evaluation\result\output\reranker_type cross encoder + mmr,D:\Users\cheng\Documents\GitHub\LLM_MA_Agent_Project\logs\agent2_plans,D:\Users\cheng\Documents\GitHub\LLM_MA_Agent_Project\00_evaluation\evaluations\reranker_type_cross_encoder_plus_mmr\full_evaluation_reranker_type_cross_encoder_plus_mmr_20260510_182222.csv,,D:\Users\cheng\Documents\GitHub\LLM_MA_Agent_Project\00_evaluation\references\Hashima.txt,D:\Users\cheng\Documents\GitHub\LLM_MA_Agent_Project\00_evaluation\result\data\Hashima_Island_rag_context.json,D:\Users\cheng\Documents\GitHub\LLM_MA_Agent_Project\logs\agent2_plans\Hashima Island_plan.json,Hashima Island,method3,true,true,used_by_generation,used_by_generation,success,5.0,4.0,4.0,4.33,"The prose is polished and readable with clear Wikipedia-style sections, though the article lacks a lead and has some overlap between current status, controversy, and popular culture material.",,success,14.906,20.184,,success,4.0,4.0,4.0,4.0,4.0,,,,,success,0.1667,0.1667,0.04,1.0,6,6,75,3,,success,0.5228,10,10,10,,,6,0,0,6,75,67,8,3,0.8933,success,6,49,0,,1.0,8.1667,success,6,10,0.6667,1.6667,4,2,Etymology; Access,0,,0,success,1.0,Etymology; History; Current status; Access; World Heritage Site approval controversy; In popular culture,,
2026-05-10T22:40:03,D:\Users\cheng\Documents\GitHub\LLM_MA_Agent_Project\00_evaluation\result\output\reranker_type cross encoder + mmr\result_method3_Howland_Island_20260509_144442.json,reranker_type cross encoder + mmr,method3_ablation,D:\Users\cheng\Documents\GitHub\LLM_MA_Agent_Project\00_evaluation\result\output\reranker_type cross encoder + mmr,D:\Users\cheng\Documents\GitHub\LLM_MA_Agent_Project\00_evaluation\result\output\reranker_type cross encoder + mmr,D:\Users\cheng\Documents\GitHub\LLM_MA_Agent_Project\logs\agent2_plans,D:\Users\cheng\Documents\GitHub\LLM_MA_Agent_Project\00_evaluation\evaluations\reranker_type_cross_encoder_plus_mmr\full_evaluation_reranker_type_cross_encoder_plus_mmr_20260510_182222.csv,,D:\Users\cheng\Documents\GitHub\LLM_MA_Agent_Project\00_evaluation\references\Howland.txt,D:\Users\cheng\Documents\GitHub\LLM_MA_Agent_Project\00_evaluation\result\data\Howland_Island_rag_context.json,D:\Users\cheng\Documents\GitHub\LLM_MA_Agent_Project\logs\agent2_plans\Howland Island_plan.json,Howland Island,method3,true,true,used_by_generation,used_by_generation,success,3.0,3.0,3.0,3.0,"Most prose is clear and readable, but the article lacks a lead, opens with an inappropriate meta-placeholder section, and has uneven section ordering and some repetition.",,success,16.8094,18.9068,,success,3.0,3.0,4.0,3.0,3.25,,,,,success,0.35,0.4118,0.3158,0.85,20,17,57,18,,success,0.3521,6,6,19,,,7,0,1,20,57,51,6,4,0.8947,success,7,29,1,Flora and fauna,0.8571,4.1429,success,7,6,0.2857,0.8571,3,4,Flora and fauna; Economics; History; Image gallery,3,Flora and fauna; History; Earhart Light,0,success,1.0,Flora and fauna; Economics; Time zone; History; National Wildlife Refuge; Earhart Light; Image gallery,,
2026-05-10T22:42:23,D:\Users\cheng\Documents\GitHub\LLM_MA_Agent_Project\00_evaluation\result\output\reranker_type cross encoder + mmr\result_method3_Hunga_Tonga–Hunga_Ha_apai_20260509_144808.json,reranker_type cross encoder + mmr,method3_ablation,D:\Users\cheng\Documents\GitHub\LLM_MA_Agent_Project\00_evaluation\result\output\reranker_type cross encoder + mmr,D:\Users\cheng\Documents\GitHub\LLM_MA_Agent_Project\00_evaluation\result\output\reranker_type cross encoder + mmr,D:\Users\cheng\Documents\GitHub\LLM_MA_Agent_Project\logs\agent2_plans,D:\Users\cheng\Documents\GitHub\LLM_MA_Agent_Project\00_evaluation\evaluations\reranker_type_cross_encoder_plus_mmr\full_evaluation_reranker_type_cross_encoder_plus_mmr_20260510_182222.csv,,D:\Users\cheng\Documents\GitHub\LLM_MA_Agent_Project\00_evaluation\references\Hunga_Tonga_Hunga_Ha_apai.txt,D:\Users\cheng\Documents\GitHub\LLM_MA_Agent_Project\00_evaluation\result\data\Hunga_Tonga–Hunga_Ha_apai_rag_context.json,D:\Users\cheng\Documents\GitHub\LLM_MA_Agent_Project\logs\agent2_plans\Hunga Tonga–Hunga Haʻapai_plan.json,Hunga Tonga–Hunga Haʻapai,method3,true,true,used_by_generation,used_by_generation,success,4.0,3.0,3.0,3.33,"The prose is clear and mostly natural, but the article lacks a lead, has an inappropriate fact-dump Footnotes section, and includes some repetition and uneven flow around the eruption details.",,success,15.4338,18.3647,,success,3.0,3.0,5.0,3.0,3.5,,,,,success,0.4,0.5,0.3137,0.8,5,4,51,16,,success,0.658,3,3,3,,,4,0,0,5,51,44,7,2,0.8627,success,4,27,0,,1.0,6.75,success,4,3,0.5,0.75,2,2,Volcano and caldera; Footnotes,0,,0,success,1.0,Volcano and caldera; Geography; Eruptions; Footnotes,,
2026-05-10T22:45:15,D:\Users\cheng\Documents\GitHub\LLM_MA_Agent_Project\00_evaluation\result\output\reranker_type cross encoder + mmr\result_method3_Jarvis_Island_20260509_145235.json,reranker_type cross encoder + mmr,method3_ablation,D:\Users\cheng\Documents\GitHub\LLM_MA_Agent_Project\00_evaluation\result\output\reranker_type cross encoder + mmr,D:\Users\cheng\Documents\GitHub\LLM_MA_Agent_Project\00_evaluation\result\output\reranker_type cross encoder + mmr,D:\Users\cheng\Documents\GitHub\LLM_MA_Agent_Project\logs\agent2_plans,D:\Users\cheng\Documents\GitHub\LLM_MA_Agent_Project\00_evaluation\evaluations\reranker_type_cross_encoder_plus_mmr\full_evaluation_reranker_type_cross_encoder_plus_mmr_20260510_182222.csv,,D:\Users\cheng\Documents\GitHub\LLM_MA_Agent_Project\00_evaluation\references\Jarvis.txt,D:\Users\cheng\Documents\GitHub\LLM_MA_Agent_Project\00_evaluation\result\data\Jarvis_Island_rag_context.json,D:\Users\cheng\Documents\GitHub\LLM_MA_Agent_Project\logs\agent2_plans\Jarvis Island_plan.json,Jarvis Island,method3,true,true,used_by_generation,used_by_generation,success,4.0,3.0,3.0,3.33,"The prose is clear and mostly polished, but the article lacks a lead, has somewhat uneven section choices, and repeats refuge and management details across sections.",,success,19.4509,28.102,,success,4.0,4.0,5.0,4.0,4.25,,,,,success,0.2353,0.25,0.2031,0.9412,17,16,64,13,,success,0.5441,6,6,21,,,5,0,0,17,64,60,4,2,0.9375,success,5,42,0,,1.0,8.4,success,5,6,0.6,1.2,3,2,Geography and ecology; Transportation,0,,0,success,1.0,Geography and ecology; History; National Wildlife Refuge; Transportation; Military,,
2026-05-10T22:49:20,D:\Users\cheng\Documents\GitHub\LLM_MA_Agent_Project\00_evaluation\result\output\reranker_type cross encoder + mmr\result_method3_Jethou_20260509_145529.json,reranker_type cross encoder + mmr,method3_ablation,D:\Users\cheng\Documents\GitHub\LLM_MA_Agent_Project\00_evaluation\result\output\reranker_type cross encoder + mmr,D:\Users\cheng\Documents\GitHub\LLM_MA_Agent_Project\00_evaluation\result\output\reranker_type cross encoder + mmr,D:\Users\cheng\Documents\GitHub\LLM_MA_Agent_Project\logs\agent2_plans,D:\Users\cheng\Documents\GitHub\LLM_MA_Agent_Project\00_evaluation\evaluations\reranker_type_cross_encoder_plus_mmr\full_evaluation_reranker_type_cross_encoder_plus_mmr_20260510_182222.csv,,D:\Users\cheng\Documents\GitHub\LLM_MA_Agent_Project\00_evaluation\references\Jethou.txt,D:\Users\cheng\Documents\GitHub\LLM_MA_Agent_Project\00_evaluation\result\data\Jethou_rag_context.json,D:\Users\cheng\Documents\GitHub\LLM_MA_Agent_Project\logs\agent2_plans\Jethou_plan.json,Jethou,method3,true,true,used_by_generation,used_by_generation,success,4.0,4.0,4.0,4.0,"The prose is clear and mostly polished with appropriate sections, though the absence of a lead and some repeated administrative/conservation framing make the organization slightly less smooth.",,success,16.7963,28.2933,,success,3.0,3.0,4.0,3.0,3.25,,,,,success,0.0,0.0,0.0,1.0,4,4,27,0,,success,0.5,6,6,6,,,4,0,0,4,27,27,0,0,1.0,success,4,20,0,,1.0,5.0,success,4,6,1.0,1.5,3,1,History,0,,0,success,1.0,History; Governance; Wildlife; Jethou in popular culture,,
2026-05-10T22:50:52,D:\Users\cheng\Documents\GitHub\LLM_MA_Agent_Project\00_evaluation\result\output\reranker_type cross encoder + mmr\result_method3_Kavachi_20260509_145713.json,reranker_type cross encoder + mmr,method3_ablation,D:\Users\cheng\Documents\GitHub\LLM_MA_Agent_Project\00_evaluation\result\output\reranker_type cross encoder + mmr,D:\Users\cheng\Documents\GitHub\LLM_MA_Agent_Project\00_evaluation\result\output\reranker_type cross encoder + mmr,D:\Users\cheng\Documents\GitHub\LLM_MA_Agent_Project\logs\agent2_plans,D:\Users\cheng\Documents\GitHub\LLM_MA_Agent_Project\00_evaluation\evaluations\reranker_type_cross_encoder_plus_mmr\full_evaluation_reranker_type_cross_encoder_plus_mmr_20260510_182222.csv,,D:\Users\cheng\Documents\GitHub\LLM_MA_Agent_Project\00_evaluation\references\Kavachi.txt,D:\Users\cheng\Documents\GitHub\LLM_MA_Agent_Project\00_evaluation\result\data\Kavachi_rag_context.json,D:\Users\cheng\Documents\GitHub\LLM_MA_Agent_Project\logs\agent2_plans\Kavachi_plan.json,Kavachi,method3,true,true,used_by_generation,used_by_generation,success,4.0,4.0,4.0,4.0,"The prose is clear and mostly natural, with appropriate sections, though the lack of a lead and some overlap between geography and eruptions keep the structure and flow from being fully polished.",,success,18.8818,37.0796,,success,4.0,4.0,5.0,4.0,4.25,,,,,success,0.5,0.5,0.1905,1.0,4,4,42,8,,success,0.523,3,3,3,,,3,0,0,4,42,37,5,1,0.881,success,3,24,0,,1.0,8.0,success,3,3,1.0,1.0,2,1,Geography,0,,0,success,1.0,Geography; Eruptions; Marine life,,
2026-05-10T22:52:19,D:\Users\cheng\Documents\GitHub\LLM_MA_Agent_Project\00_evaluation\result\output\reranker_type cross encoder + mmr\result_method3_Nishinoshima_(Ogasawara)_20260509_145903.json,reranker_type cross encoder + mmr,method3_ablation,D:\Users\cheng\Documents\GitHub\LLM_MA_Agent_Project\00_evaluation\result\output\reranker_type cross encoder + mmr,D:\Users\cheng\Documents\GitHub\LLM_MA_Agent_Project\00_evaluation\result\output\reranker_type cross encoder + mmr,D:\Users\cheng\Documents\GitHub\LLM_MA_Agent_Project\logs\agent2_plans,D:\Users\cheng\Documents\GitHub\LLM_MA_Agent_Project\00_evaluation\evaluations\reranker_type_cross_encoder_plus_mmr\full_evaluation_reranker_type_cross_encoder_plus_mmr_20260510_182222.csv,,D:\Users\cheng\Documents\GitHub\LLM_MA_Agent_Project\00_evaluation\references\Nishinoshima_(Ogasawara).txt,D:\Users\cheng\Documents\GitHub\LLM_MA_Agent_Project\00_evaluation\result\data\Nishinoshima_(Ogasawara)_rag_context.json,D:\Users\cheng\Documents\GitHub\LLM_MA_Agent_Project\logs\agent2_plans\Nishinoshima (Ogasawara)_plan.json,Nishinoshima (Ogasawara),method3,true,true,used_by_generation,used_by_generation,success,4.0,3.0,4.0,3.67,"The prose is clear and mostly natural, with meaningful but incomplete Wikipedia-style sections and generally logical flow despite the absence of a lead and some uneven coverage.",,success,11.2863,9.9859,,success,3.0,3.0,4.0,3.0,3.25,,,,,success,0.3333,0.3333,0.0625,1.0,3,3,32,2,,success,0.5989,1,1,1,,,3,0,0,3,32,19,13,2,0.5938,success,3,18,0,,1.0,6.0,success,3,1,0.3333,0.3333,1,2,Etymology; Geology,0,,0,success,1.0,Etymology; Geology; Ecology,,
2026-05-10T22:53:21,D:\Users\cheng\Documents\GitHub\LLM_MA_Agent_Project\00_evaluation\result\output\reranker_type cross encoder + mmr\result_method3_Surtsey_20260509_150154.json,reranker_type cross encoder + mmr,method3_ablation,D:\Users\cheng\Documents\GitHub\LLM_MA_Agent_Project\00_evaluation\result\output\reranker_type cross encoder + mmr,D:\Users\cheng\Documents\GitHub\LLM_MA_Agent_Project\00_evaluation\result\output\reranker_type cross encoder + mmr,D:\Users\cheng\Documents\GitHub\LLM_MA_Agent_Project\logs\agent2_plans,D:\Users\cheng\Documents\GitHub\LLM_MA_Agent_Project\00_evaluation\evaluations\reranker_type_cross_encoder_plus_mmr\full_evaluation_reranker_type_cross_encoder_plus_mmr_20260510_182222.csv,,D:\Users\cheng\Documents\GitHub\LLM_MA_Agent_Project\00_evaluation\references\Surtsey.txt,D:\Users\cheng\Documents\GitHub\LLM_MA_Agent_Project\00_evaluation\result\data\Surtsey_rag_context.json,D:\Users\cheng\Documents\GitHub\LLM_MA_Agent_Project\logs\agent2_plans\Surtsey_plan.json,Surtsey,method3,true,true,used_by_generation,used_by_generation,success,4.0,3.0,3.0,3.33,"The prose is clear and mostly polished, but the article lacks a lead section, has an uneven outline with an awkward 'Recent development' section, and repeats themes across sections.",,success,11.8968,14.3102,,success,3.0,4.0,5.0,4.0,4.0,,,,,success,0.75,0.75,0.4,1.0,4,4,55,22,,success,0.5312,6,6,6,,,4,0,0,4,55,55,0,0,1.0,success,4,22,0,,1.0,5.5,success,4,6,1.0,1.5,3,1,Geology,1,Biology,0,success,1.0,Geology; Recent development; Biology; Human impact,,
2026-05-10T22:56:07,D:\Users\cheng\Documents\GitHub\LLM_MA_Agent_Project\00_evaluation\result\output\reranker_type cross encoder + mmr\result_method3_Tromelin_Island_20260509_150514.json,reranker_type cross encoder + mmr,method3_ablation,D:\Users\cheng\Documents\GitHub\LLM_MA_Agent_Project\00_evaluation\result\output\reranker_type cross encoder + mmr,D:\Users\cheng\Documents\GitHub\LLM_MA_Agent_Project\00_evaluation\result\output\reranker_type cross encoder + mmr,D:\Users\cheng\Documents\GitHub\LLM_MA_Agent_Project\logs\agent2_plans,D:\Users\cheng\Documents\GitHub\LLM_MA_Agent_Project\00_evaluation\evaluations\reranker_type_cross_encoder_plus_mmr\full_evaluation_reranker_type_cross_encoder_plus_mmr_20260510_182222.csv,,D:\Users\cheng\Documents\GitHub\LLM_MA_Agent_Project\00_evaluation\references\Tromelin.txt,D:\Users\cheng\Documents\GitHub\LLM_MA_Agent_Project\00_evaluation\result\data\Tromelin_Island_rag_context.json,D:\Users\cheng\Documents\GitHub\LLM_MA_Agent_Project\logs\agent2_plans\Tromelin Island_plan.json,Tromelin Island,method3,true,true,used_by_generation,used_by_generation,success,4.0,4.0,4.0,4.0,"The prose is clear and mostly natural with appropriate sections, though the lack of a lead and some repetition between the description and ecology-related sections slightly weaken the overall organization.",,success,18.1048,18.6971,,success,4.0,4.0,5.0,4.0,4.25,,,,,success,0.3333,0.3333,0.0794,1.0,6,6,63,5,,success,0.3617,6,6,8,,,5,0,0,6,63,61,2,2,0.9683,success,5,33,0,,1.0,6.6,success,5,6,0.6,1.2,3,2,Etymology; Description,0,,0,success,1.0,Etymology; Description; Fauna and flora; History; Climate,,
