threshold_setting,comparison_label,variant_name,variant_type,method,island_name,error_family,error_class,error_subclass,total_error_instances,affected_outputs,total_outputs_in_group,percentage_of_outputs,high_severity_affected_outputs,high_severity_percentage_of_outputs,medium_severity_affected_outputs,medium_severity_percentage_of_outputs,low_severity_affected_outputs,low_severity_percentage_of_outputs,high_severity_count,medium_severity_count,low_severity_count
main,method2,method2,variant,,,Citation and verifiability,Citation coverage failure,,3,3,10,0.300000,1,0.100000,2,0.200000,0,0.000000,1,2,0
main,method2,method2,variant,,,Citation and verifiability,Citation support failure,,2,2,10,0.200000,1,0.100000,1,0.100000,0,0.000000,1,1,0
main,method2,method2,variant,,,Content quality,Content addition,,0,0,10,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0,0
main,method2,method2,variant,,,Content quality,Content omission,,5,3,10,0.300000,1,0.100000,3,0.300000,0,0.000000,1,4,0
main,method2,method2,variant,,,Content quality,Content organization error,,0,0,10,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0,0
main,method2,method2,variant,,,Content quality,Content quality error,,0,0,10,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0,0
main,method2,method2,variant,,,Content quality,Content substitution,,4,4,10,0.400000,0,0.000000,4,0.400000,0,0.000000,0,4,0
main,method2,method2,variant,,,Planning and graph,Graph coherence failure,,0,0,10,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0,0
main,method2,method2,variant,,,Writing quality,Writing error,,0,0,10,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0,0
main,method3,method3,method3_ablation,,,Citation and verifiability,Citation coverage failure,,7,5,10,0.500000,3,0.300000,3,0.300000,0,0.000000,3,4,0
main,method3,method3,method3_ablation,,,Citation and verifiability,Citation support failure,,8,4,10,0.400000,2,0.200000,3,0.300000,0,0.000000,3,5,0
main,method3,method3,method3_ablation,,,Content quality,Content addition,,0,0,10,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0,0
main,method3,method3,method3_ablation,,,Content quality,Content omission,,6,4,10,0.400000,3,0.300000,2,0.200000,0,0.000000,4,2,0
main,method3,method3,method3_ablation,,,Content quality,Content organization error,,0,0,10,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0,0
main,method3,method3,method3_ablation,,,Content quality,Content quality error,,0,0,10,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0,0
main,method3,method3,method3_ablation,,,Content quality,Content substitution,,5,5,10,0.500000,0,0.000000,5,0.500000,0,0.000000,0,5,0
main,method3,method3,method3_ablation,,,Planning and graph,Graph coherence failure,,4,4,10,0.400000,2,0.200000,2,0.200000,0,0.000000,2,2,0
main,method3,method3,method3_ablation,,,Writing quality,Writing error,,0,0,10,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0,0
